movieId,title,genres
6,Heat (1995),Action|Crime|Thriller
9,Sudden Death (1995),Action
10,GoldenEye (1995),Action|Adventure|Thriller
15,Cutthroat Island (1995),Action|Adventure|Romance
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
23,Assassins (1995),Action|Crime|Thriller
42,Dead Presidents (1995),Action|Crime|Drama
44,Mortal Kombat (1995),Action|Adventure|Fantasy
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
71,Fair Game (1995),Action
76,Screamers (1995),Action|Sci-Fi|Thriller
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller
86,White Squall (1996),Action|Adventure|Drama
89,Nick of Time (1995),Action|Thriller
95,Broken Arrow (1996),Action|Adventure|Thriller
110,Braveheart (1995),Action|Drama|War
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
151,Rob Roy (1995),Action|Drama|Romance|War
153,Batman Forever (1995),Action|Adventure|Comedy|Crime
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi
163,Desperado (1995),Action|Romance|Western
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
168,First Knight (1995),Action|Drama|Romance
170,Hackers (1995),Action|Adventure|Crime|Thriller
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
173,Judge Dredd (1995),Action|Crime|Sci-Fi
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children
185,"Net, The (1995)",Action|Crime|Thriller
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
204,Under Siege 2: Dark Territory (1995),Action
208,Waterworld (1995),Action|Adventure|Sci-Fi
227,Drop Zone (1994),Action|Thriller
236,French Kiss (1995),Action|Comedy|Romance
251,"Hunted, The (1995)",Action
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
284,New York Cop (Nyû Yôku no koppu) (1993),Action|Crime
288,Natural Born Killers (1994),Action|Crime|Thriller
292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
303,"Quick and the Dead, The (1995)",Action|Thriller|Western
315,"Specialist, The (1994)",Action|Drama|Thriller
316,Stargate (1994),Action|Adventure|Sci-Fi
327,Tank Girl (1995),Action|Comedy|Sci-Fi
330,Tales from the Hood (1995),Action|Crime|Horror
338,Virtuosity (1995),Action|Sci-Fi|Thriller
349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
353,"Crow, The (1994)",Action|Crime|Fantasy|Thriller
360,I Love Trouble (1994),Action|Comedy
367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
370,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy
376,"River Wild, The (1994)",Action|Thriller
377,Speed (1994),Action|Romance|Thriller
379,Timecop (1994),Action|Sci-Fi|Thriller
380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
384,Bad Company (1995),Action|Crime|Drama
387,"Low Down Dirty Shame, A (1994)",Action|Comedy
390,Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drama
393,Street Fighter (1994),Action|Adventure|Fantasy
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy
420,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller
423,Blown Away (1994),Action|Thriller
434,Cliffhanger (1993),Action|Adventure|Thriller
438,"Cowboy Way, The (1994)",Action|Comedy|Drama
442,Demolition Man (1993),Action|Adventure|Sci-Fi
459,"Getaway, The (1994)",Action|Adventure|Crime|Drama|Romance|Thriller
464,Hard Target (1993),Action|Adventure|Crime|Thriller
466,Hot Shots! Part Deux (1993),Action|Comedy|War
474,In the Line of Fire (1993),Action|Thriller
479,Judgment Night (1993),Action|Crime|Thriller
480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
485,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy
493,Menace II Society (1993),Action|Crime|Drama
494,Executive Decision (1996),Action|Adventure|Thriller
502,"Next Karate Kid, The (1994)",Action|Children|Romance
504,No Escape (1994),Action|Drama|Sci-Fi
511,"Program, The (1993)",Action|Drama
517,Rising Sun (1993),Action|Drama|Mystery
519,RoboCop 3 (1993),Action|Crime|Drama|Sci-Fi|Thriller
522,Romper Stomper (1992),Action|Drama
533,"Shadow, The (1994)",Action|Adventure|Fantasy|Mystery
541,Blade Runner (1982),Action|Sci-Fi|Thriller
544,Striking Distance (1993),Action|Crime
546,Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi
547,Surviving the Game (1994),Action|Adventure|Thriller
548,Terminal Velocity (1994),Action|Mystery|Thriller
552,"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance
553,Tombstone (1993),Action|Drama|Western
558,"Pagemaster, The (1994)",Action|Adventure|Animation|Children|Fantasy
589,Terminator 2: Judgment Day (1991),Action|Sci-Fi
592,Batman (1989),Action|Crime|Thriller
600,Love and a .45 (1994),Action|Comedy|Crime
610,Heavy Metal (1981),Action|Adventure|Animation|Horror|Sci-Fi
611,Hellraiser: Bloodline (1996),Action|Horror|Sci-Fi
647,Courage Under Fire (1996),Action|Crime|Drama|War
648,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller
653,Dragonheart (1996),Action|Adventure|Fantasy
667,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),Action
688,Operation Dumbo Drop (1995),Action|Adventure|Comedy|War
692,Solo (1996),Action|Sci-Fi|Thriller
694,"Substitute, The (1996)",Action|Crime|Drama
704,"Quest, The (1996)",Action|Adventure
733,"Rock, The (1996)",Action|Adventure|Thriller
736,Twister (1996),Action|Adventure|Romance|Thriller
737,Barb Wire (1996),Action|Sci-Fi
748,"Arrival, The (1996)",Action|Sci-Fi|Thriller
761,"Phantom, The (1996)",Action|Adventure
780,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller
786,Eraser (1996),Action|Drama|Thriller
798,Daylight (1996),Action|Adventure|Drama|Thriller
809,Fled (1996),Action|Adventure
836,Chain Reaction (1996),Action|Adventure|Thriller
839,"Crow: City of Angels, The (1996)",Action|Thriller
849,Escape from L.A. (1996),Action|Adventure|Sci-Fi|Thriller
861,Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992),Action|Comedy|Crime|Thriller
875,Nothing to Lose (1994),Action|Crime|Drama
876,Supercop 2 (Project S) (Chao ji ji hua) (1993),Action|Comedy|Crime|Thriller
886,Bulletproof (1996),Action|Comedy|Crime
908,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller
940,"Adventures of Robin Hood, The (1938)",Action|Adventure|Romance
990,Maximum Risk (1996),Action|Adventure|Thriller
996,Last Man Standing (1996),Action|Crime|Drama|Thriller
998,Set It Off (1996),Action|Crime
1004,"Glimmer Man, The (1996)",Action|Thriller
1036,Die Hard (1988),Action|Crime|Thriller
1037,"Lawnmower Man, The (1992)",Action|Horror|Sci-Fi|Thriller
1047,"Long Kiss Goodnight, The (1996)",Action|Drama|Thriller
1049,"Ghost and the Darkness, The (1996)",Action|Adventure
1100,Days of Thunder (1990),Action|Drama|Romance
1101,Top Gun (1986),Action|Romance
1112,Palookaville (1996),Action|Comedy|Drama
1127,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller
1129,Escape from New York (1981),Action|Adventure|Sci-Fi|Thriller
1170,Best of the Best 3: No Turning Back (1995),Action
1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
1200,Aliens (1986),Action|Adventure|Horror|Sci-Fi
1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Action|Adventure|Western
1208,Apocalypse Now (1979),Action|Drama|War
1209,Once Upon a Time in the West (C'era una volta il West) (1968),Action|Drama|Western
1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
1215,Army of Darkness (1993),Action|Adventure|Comedy|Fantasy|Horror
1218,"Killer, The (Die xue shuang xiong) (1989)",Action|Crime|Drama|Thriller
1220,"Blues Brothers, The (1980)",Action|Comedy|Musical
1224,Henry V (1989),Action|Drama|Romance|War
1233,"Boot, Das (Boat, The) (1981)",Action|Drama|War
1240,"Terminator, The (1984)",Action|Sci-Fi|Thriller
1249,"Femme Nikita, La (Nikita) (1990)",Action|Crime|Romance|Thriller
1254,"Treasure of the Sierra Madre, The (1948)",Action|Adventure|Drama|Western
1261,Evil Dead II (Dead by Dawn) (1987),Action|Comedy|Fantasy|Horror
1262,"Great Escape, The (1963)",Action|Adventure|Drama|War
1264,Diva (1981),Action|Drama|Mystery|Romance|Thriller
1274,Akira (1988),Action|Adventure|Animation|Sci-Fi
1275,Highlander (1986),Action|Adventure|Fantasy
1287,Ben-Hur (1959),Action|Adventure|Drama
1291,Indiana Jones and the Last Crusade (1989),Action|Adventure
1304,Butch Cassidy and the Sundance Kid (1969),Action|Western
1320,Alien³ (a.k.a. Alien 3) (1992),Action|Horror|Sci-Fi|Thriller
1356,Star Trek: First Contact (1996),Action|Adventure|Sci-Fi|Thriller
1370,Die Hard 2 (1990),Action|Adventure|Thriller
1372,Star Trek VI: The Undiscovered Country (1991),Action|Mystery|Sci-Fi
1373,Star Trek V: The Final Frontier (1989),Action|Sci-Fi
1374,Star Trek II: The Wrath of Khan (1982),Action|Adventure|Sci-Fi|Thriller
1375,Star Trek III: The Search for Spock (1984),Action|Adventure|Sci-Fi
1377,Batman Returns (1992),Action|Crime
1378,Young Guns (1988),Action|Comedy|Western
1379,Young Guns II (1990),Action|Western
1382,Marked for Death (1990),Action|Drama
1385,Under Siege (1992),Action|Drama|Thriller
1387,Jaws (1975),Action|Horror
1389,Jaws 3-D (1983),Action|Horror
1391,Mars Attacks! (1996),Action|Comedy|Sci-Fi
1396,Sneakers (1992),Action|Comedy|Crime|Drama|Sci-Fi
1408,"Last of the Mohicans, The (1992)",Action|Romance|War|Western
1427,Turbulence (1997),Action|Thriller
1429,First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo) (1996),Action|Adventure|Comedy|Thriller
1431,Beverly Hills Ninja (1997),Action|Comedy
1432,Metro (1997),Action|Comedy|Crime|Drama|Thriller
1438,Dante's Peak (1997),Action|Thriller
1465,Rosewood (1997),Action|Drama
1473,Best Men (1997),Action|Comedy|Crime|Drama
1479,"Saint, The (1997)",Action|Romance|Sci-Fi|Thriller
1488,"Devil's Own, The (1997)",Action|Drama|Thriller
1495,Turbo: A Power Rangers Movie (1997),Action|Adventure|Children
1497,Double Team (1997),Action
1499,Anaconda (1997),Action|Adventure|Thriller
1515,Volcano (1997),Action|Drama|Thriller
1517,Austin Powers: International Man of Mystery (1997),Action|Adventure|Comedy
1518,Breakdown (1997),Action|Thriller
1527,"Fifth Element, The (1997)",Action|Adventure|Comedy|Sci-Fi
1544,"Lost World: Jurassic Park, The (1997)",Action|Adventure|Sci-Fi|Thriller
1552,Con Air (1997),Action|Adventure|Thriller
1556,Speed 2: Cruise Control (1997),Action|Romance|Thriller
1562,Batman & Robin (1997),Action|Adventure|Fantasy|Thriller
1573,Face/Off (1997),Action|Crime|Drama|Thriller
1580,Men in Black (a.k.a. MIB) (1997),Action|Comedy|Sci-Fi
1586,G.I. Jane (1997),Action|Drama
1587,Conan the Barbarian (1982),Action|Adventure|Fantasy
1589,Cop Land (1997),Action|Crime|Drama|Thriller
1591,Spawn (1997),Action|Adventure|Sci-Fi|Thriller
1599,Steel (1997),Action
1604,Money Talks (1997),Action|Comedy
1606,Kull the Conqueror (1997),Action|Adventure
1608,Air Force One (1997),Action|Thriller
1610,"Hunt for Red October, The (1990)",Action|Adventure|Thriller
1616,"Peacemaker, The (1997)",Action|Thriller|War
1626,Fire Down Below (1997),Action|Drama|Thriller
1631,"Assignment, The (1997)",Action|Thriller
1667,Mad City (1997),Action|Drama
1676,Starship Troopers (1997),Action|Sci-Fi
1681,Mortal Kombat: Annihilation (1997),Action|Adventure|Fantasy
1687,"Jackal, The (1997)",Action|Thriller
1690,Alien: Resurrection (1997),Action|Horror|Sci-Fi
1722,Tomorrow Never Dies (1997),Action|Adventure|Thriller
1726,"Postman, The (1997)",Action|Adventure|Drama|Sci-Fi
1739,3 Ninjas: High Noon On Mega Mountain (1998),Action|Children|Comedy
1752,Hard Rain (1998),Action|Crime|Thriller
1762,Deep Rising (1998),Action|Horror|Sci-Fi
1769,"Replacement Killers, The (1998)",Action|Crime|Thriller
1772,Blues Brothers 2000 (1998),Action|Comedy|Musical
1792,U.S. Marshals (1998),Action|Crime|Thriller
1801,"Man in the Iron Mask, The (1998)",Action|Adventure|Drama
1831,Lost in Space (1998),Action|Adventure|Sci-Fi
1833,Mercury Rising (1998),Action|Drama|Thriller
1858,Mr. Nice Guy (Yat goh ho yan) (1997),Action|Comedy
1866,"Big Hit, The (1998)",Action|Comedy|Crime
1867,Tarzan and the Lost City (1998),Action|Adventure
1882,Godzilla (1998),Action|Sci-Fi|Thriller
1909,"X-Files: Fight the Future, The (1998)",Action|Crime|Mystery|Sci-Fi|Thriller
1917,Armageddon (1998),Action|Romance|Sci-Fi|Thriller
1918,Lethal Weapon 4 (1998),Action|Comedy|Crime|Thriller
1927,All Quiet on the Western Front (1930),Action|Drama|War
1953,"French Connection, The (1971)",Action|Crime|Thriller
2000,Lethal Weapon (1987),Action|Comedy|Crime|Drama
2001,Lethal Weapon 2 (1989),Action|Comedy|Crime|Drama
2002,Lethal Weapon 3 (1992),Action|Comedy|Crime|Drama
2005,"Goonies, The (1985)",Action|Adventure|Children|Comedy|Fantasy
2006,"Mask of Zorro, The (1998)",Action|Comedy|Romance
2013,"Poseidon Adventure, The (1972)",Action|Adventure|Drama
2019,Seven Samurai (Shichinin no samurai) (1954),Action|Adventure|Drama
2028,Saving Private Ryan (1998),Action|Drama|War
2041,Condorman (1981),Action|Adventure|Children|Comedy
2048,"Great Mouse Detective, The (1986)",Action|Animation|Children|Crime
2055,Hot Lead and Cold Feet (1978),Action|Comedy|Western
2058,"Negotiator, The (1998)",Action|Crime|Drama|Mystery|Thriller
2094,"Rocketeer, The (1991)",Action|Adventure|Sci-Fi
2105,Tron (1982),Action|Adventure|Sci-Fi
2115,Indiana Jones and the Temple of Doom (1984),Action|Adventure|Fantasy
2126,Snake Eyes (1998),Action|Crime|Mystery|Thriller
2153,"Avengers, The (1998)",Action|Adventure
2164,Surf Nazis Must Die (1987),Action|Comedy|Drama|Horror
2167,Blade (1998),Action|Horror|Thriller
2170,Wrongfully Accused (1998),Action|Comedy
2193,Willow (1988),Action|Adventure|Fantasy
2194,"Untouchables, The (1987)",Action|Crime|Drama
2196,Knock Off (1998),Action
2273,Rush Hour (1998),Action|Comedy|Crime|Thriller
2275,Six-String Samurai (1998),Action|Adventure|Sci-Fi
2278,Ronin (1998),Action|Crime|Thriller
2281,Monument Ave. (1998),Action|Crime|Drama
2288,"Thing, The (1982)",Action|Horror|Sci-Fi|Thriller
2307,One Tough Cop (1998),Action|Crime
2322,Soldier (1998),Action|Sci-Fi|War
2334,"Siege, The (1998)",Action|Thriller
2344,Runaway Train (1985),Action|Adventure|Drama|Thriller
2353,Enemy of the State (1998),Action|Thriller
2364,"Godzilla 1985: The Legend Is Reborn (Gojira) (Godzilla) (Return of Godzilla, The) (1984)",Action|Horror|Sci-Fi|Thriller
2365,King Kong vs. Godzilla (Kingukongu tai Gojira) (1962),Action|Sci-Fi
2366,King Kong (1933),Action|Adventure|Fantasy|Horror
2370,"Emerald Forest, The (1985)",Action|Adventure|Drama
2373,Red Sonja (1985),Action|Adventure|Fantasy
2376,"View to a Kill, A (1985)",Action|Adventure|Thriller
2393,Star Trek: Insurrection (1998),Action|Drama|Romance|Sci-Fi
2402,Rambo: First Blood Part II (1985),Action|Adventure|Thriller
2403,First Blood (Rambo: First Blood) (1982),Action|Adventure|Drama|Thriller
2404,Rambo III (1988),Action|Adventure|Thriller|War
2405,"Jewel of the Nile, The (1985)",Action|Adventure|Comedy|Romance
2406,Romancing the Stone (1984),Action|Adventure|Comedy|Romance
2409,Rocky II (1979),Action|Drama
2410,Rocky III (1982),Action|Drama
2411,Rocky IV (1985),Action|Drama
2412,Rocky V (1990),Action|Drama
2414,Young Sherlock Holmes (1985),Action|Adventure|Children|Fantasy|Mystery|Thriller
2421,"Karate Kid, Part II, The (1986)",Action|Adventure|Drama
2422,"Karate Kid, Part III, The (1989)",Action|Adventure|Children|Drama
2427,"Thin Red Line, The (1998)",Action|Drama|War
2429,Mighty Joe Young (1998),Action|Adventure|Drama|Fantasy|Thriller
2457,Running Scared (1986),Action|Comedy
2468,Jumpin' Jack Flash (1986),Action|Comedy|Romance|Thriller
2471,Crocodile Dundee II (1988),Action|Adventure|Comedy
2475,52 Pick-Up (1986),Action|Mystery|Thriller
2476,Heartbreak Ridge (1986),Action|War
2490,Payback (1999),Action|Thriller
2521,Airport 1975 (1974),Action|Drama|Thriller
2524,"Towering Inferno, The (1974)",Action|Adventure|Drama|Thriller
2525,Alligator (1980),Action|Horror|Sci-Fi
2527,Westworld (1973),Action|Sci-Fi|Thriller|Western
2528,Logan's Run (1976),Action|Adventure|Sci-Fi
2529,Planet of the Apes (1968),Action|Drama|Sci-Fi
2530,Beneath the Planet of the Apes (1970),Action|Sci-Fi
2531,Battle for the Planet of the Apes (1973),Action|Sci-Fi
2532,Conquest of the Planet of the Apes (1972),Action|Sci-Fi
2533,Escape from the Planet of the Apes (1971),Action|Sci-Fi
2534,Avalanche (1978),Action
2535,Earthquake (1974),Action|Drama|Thriller
2540,"Corruptor, The (1999)",Action|Crime|Drama|Thriller
2549,Wing Commander (1999),Action|Sci-Fi
2568,"Mod Squad, The (1999)",Action|Crime
2571,"Matrix, The (1999)",Action|Sci-Fi|Thriller
2582,Twin Dragons (Shuang long hui) (1992),Action|Comedy
2600,eXistenZ (1999),Action|Sci-Fi|Thriller
2614,Chopping Mall (a.k.a. Killbots) (1986),Action|Horror|Sci-Fi
2616,Dick Tracy (1990),Action|Crime
2617,"Mummy, The (1999)",Action|Adventure|Comedy|Fantasy|Horror|Thriller
2625,Black Mask (Hak hap) (1996),Action|Adventure|Crime|Sci-Fi|Thriller
2628,Star Wars: Episode I - The Phantom Menace (1999),Action|Adventure|Sci-Fi
2640,Superman (1978),Action|Adventure|Sci-Fi
2641,Superman II (1980),Action|Sci-Fi
2642,Superman III (1983),Action|Adventure|Sci-Fi
2643,Superman IV: The Quest for Peace (1987),Action|Adventure|Sci-Fi
2662,"War of the Worlds, The (1953)",Action|Drama|Sci-Fi
2683,Austin Powers: The Spy Who Shagged Me (1999),Action|Adventure|Comedy
2692,Run Lola Run (Lola rennt) (1998),Action|Crime
2701,Wild Wild West (1999),Action|Comedy|Sci-Fi|Western
2716,Ghostbusters (a.k.a. Ghost Busters) (1984),Action|Comedy|Sci-Fi
2720,Inspector Gadget (1999),Action|Adventure|Children|Comedy
2722,Deep Blue Sea (1999),Action|Horror|Sci-Fi|Thriller
2723,Mystery Men (1999),Action|Comedy|Fantasy
2728,Spartacus (1960),Action|Drama|Romance|War
2735,"Golden Child, The (1986)",Action|Adventure|Comedy|Fantasy|Mystery
2737,Assassination (1987),Action|Drama|Thriller
2741,No Mercy (1986),Action|Crime|Thriller
2748,Allan Quatermain and the Lost City of Gold (1987),Action|Adventure|Comedy
2763,"Thomas Crown Affair, The (1999)",Action|Mystery
2802,Tequila Sunrise (1988),Action|Drama|Romance|Thriller
2807,Universal Soldier: The Return (1999),Action|Sci-Fi
2808,Universal Soldier (1992),Action|Sci-Fi
2812,In Too Deep (1999),Action|Thriller
2815,Iron Eagle (1986),Action|War
2816,Iron Eagle II (1988),Action|War
2817,Aces: Iron Eagle III (1992),Action
2818,Iron Eagle IV (1995),Action|War
2826,"13th Warrior, The (1999)",Action|Adventure|Fantasy
2835,Chill Factor (1999),Action|Adventure|Comedy|Thriller
2879,Armour of God II: Operation Condor (Operation Condor) (Fei ying gai wak) (1991),Action|Adventure|Comedy
2880,Armour of God (Long xiong hu di) (1987),Action|Adventure|Comedy
2881,Double Jeopardy (1999),Action|Crime|Drama|Thriller
2887,Simon Sez (1999),Action|Comedy
2890,Three Kings (1999),Action|Adventure|Comedy|Drama|War
2892,New Rose Hotel (1998),Action|Drama
2893,Plunkett & MaCleane (1999),Action|Adventure|Drama
2905,Sanjuro (Tsubaki Sanjûrô) (1962),Action|Adventure|Drama
2916,Total Recall (1990),Action|Adventure|Sci-Fi|Thriller
2924,Drunken Master (Jui kuen) (1978),Action|Comedy
2944,"Dirty Dozen, The (1967)",Action|Drama|War
2947,Goldfinger (1964),Action|Adventure|Thriller
2948,From Russia with Love (1963),Action|Adventure|Thriller
2949,Dr. No (1962),Action|Adventure|Thriller
2951,"Fistful of Dollars, A (Per un pugno di dollari) (1964)",Action|Western
2956,Someone to Watch Over Me (1987),Action|Crime|Thriller
2959,Fight Club (1999),Action|Crime|Drama|Thriller
2965,"Omega Code, The (1999)",Action
2985,RoboCop (1987),Action|Crime|Drama|Sci-Fi|Thriller
2986,RoboCop 2 (1990),Action|Crime|Sci-Fi|Thriller
2989,For Your Eyes Only (1981),Action|Adventure|Thriller
2990,Licence to Kill (1989),Action|Adventure|Thriller
2991,Live and Let Die (1973),Action|Adventure|Thriller
2993,Thunderball (1965),Action|Adventure|Thriller
3000,Princess Mononoke (Mononoke-hime) (1997),Action|Adventure|Animation|Drama|Fantasy
3020,Falling Down (1993),Action|Drama
3029,Nighthawks (1981),Action|Drama
3030,Yojimbo (1961),Action|Adventure
3032,"Omega Man, The (1971)",Action|Drama|Sci-Fi|Thriller
3062,"Longest Day, The (1962)",Action|Drama|War
3066,Tora! Tora! Tora! (1970),Action|Drama|War
3082,"World Is Not Enough, The (1999)",Action|Adventure|Thriller
3104,Midnight Run (1988),Action|Comedy|Crime|Thriller
3107,Backdraft (1991),Action|Drama
3113,End of Days (1999),Action|Fantasy|Horror|Mystery|Thriller
3153,"7th Voyage of Sinbad, The (1958)",Action|Adventure|Fantasy
3165,Boiling Point (1993),Action|Drama
3197,"Presidio, The (1988)",Action|Crime|Romance|Thriller
3204,"Boys from Brazil, The (1978)",Action|Mystery|Thriller
3208,Loaded Weapon 1 (National Lampoon's Loaded Weapon 1) (1993),Action|Comedy
3256,Patriot Games (1992),Action|Crime|Drama|Thriller
3264,Buffy the Vampire Slayer (1992),Action|Comedy|Horror
3265,Hard-Boiled (Lat sau san taam) (1992),Action|Crime|Drama|Thriller
3267,"Mariachi, El (1992)",Action|Crime|Thriller|Western
3268,Stop! Or My Mom Will Shoot (1992),Action|Comedy
3275,"Boondock Saints, The (2000)",Action|Crime|Drama|Thriller
3283,Minnie and Moskowitz (1971),Action
3316,Reindeer Games (2000),Action|Thriller
3372,"Bridge at Remagen, The (1969)",Action|War
3384,"Taking of Pelham One Two Three, The (1974)",Action|Crime
3389,Let's Get Harry (1986),Action|Adventure
3404,Titanic (1953),Action|Drama
3405,"Night to Remember, A (1958)",Action|Drama
3406,Captain Horatio Hornblower R.N. (1951),Action|Adventure|Drama|War
3430,Death Wish (1974),Action|Crime|Drama
3431,Death Wish 2 (1982),Action|Drama
3432,Death Wish 3 (1985),Action|Drama
3433,Death Wish 4: The Crackdown (1987),Action|Drama
3434,Death Wish 5: The Face of Death (1994),Action|Drama
3438,Teenage Mutant Ninja Turtles (1990),Action|Children|Comedy|Fantasy|Sci-Fi
3439,Teenage Mutant Ninja Turtles II: The Secret of the Ooze (1991),Action|Children|Fantasy
3440,Teenage Mutant Ninja Turtles III (1993),Action|Adventure|Children|Comedy|Fantasy
3441,Red Dawn (1984),Action|Drama|War
3442,Band of the Hand (1986),Action|Crime|Drama
3444,Bloodsport (1988),Action
3452,Romeo Must Die (2000),Action|Crime|Romance|Thriller
3508,"Outlaw Josey Wales, The (1976)",Action|Adventure|Drama|Thriller|Western
3519,Force 10 from Navarone (1978),Action|Drama|War
3527,Predator (1987),Action|Sci-Fi|Thriller
3555,U-571 (2000),Action|Thriller|War
3563,"Crow: Salvation, The (2000)",Action|Horror
3576,"Hidden, The (1987)",Action|Horror|Sci-Fi
3578,Gladiator (2000),Action|Adventure|Drama
3584,Breathless (1983),Action|Drama|Romance|Thriller
3593,Battlefield Earth (2000),Action|Sci-Fi
3623,Mission: Impossible II (2000),Action|Adventure|Thriller
3624,Shanghai Noon (2000),Action|Adventure|Comedy|Western
3628,Flying Tigers (1942),Action|Drama|Romance|War
3633,On Her Majesty's Secret Service (1969),Action|Adventure|Romance|Thriller
3635,"Spy Who Loved Me, The (1977)",Action|Adventure|Thriller
3638,Moonraker (1979),Action|Adventure|Sci-Fi|Thriller
3639,"Man with the Golden Gun, The (1974)",Action|Adventure|Thriller
3643,"Fighting Seabees, The (1944)",Action|Drama|War
3654,"Guns of Navarone, The (1961)",Action|Adventure|Drama|War
3667,Rent-A-Cop (1988),Action|Comedy|Crime
3681,For a Few Dollars More (Per qualche dollaro in più) (1965),Action|Drama|Thriller|Western
3682,Magnum Force (1973),Action|Crime|Drama|Thriller
3697,Predator 2 (1990),Action|Sci-Fi|Thriller
3698,"Running Man, The (1987)",Action|Sci-Fi
3702,Mad Max (1979),Action|Adventure|Sci-Fi
3703,"Road Warrior, The (Mad Max 2) (1981)",Action|Adventure|Sci-Fi|Thriller
3704,Mad Max Beyond Thunderdome (1985),Action|Adventure|Sci-Fi
3705,Bird on a Wire (1990),Action|Comedy|Romance
3710,Action Jackson (1988),Action|Comedy|Crime|Thriller
3716,Fatal Beauty (1987),Action|Comedy|Crime|Drama
3717,Gone in 60 Seconds (2000),Action|Crime
3726,Assault on Precinct 13 (1976),Action|Thriller
3729,Shaft (1971),Action|Crime|Drama|Thriller
