movieId,title,genres
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2,Jumanji (1995),Adventure|Children|Fantasy
8,Tom and Huck (1995),Adventure|Children
10,GoldenEye (1995),Action|Adventure|Thriller
13,Balto (1995),Adventure|Animation|Children
15,Cutthroat Island (1995),Action|Adventure|Romance
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
44,Mortal Kombat (1995),Action|Adventure|Fantasy
53,Lamerica (1994),Adventure|Drama
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
86,White Squall (1996),Action|Adventure|Drama
95,Broken Arrow (1996),Action|Adventure|Thriller
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy
146,"Amazing Panda Adventure, The (1995)",Adventure|Children
150,Apollo 13 (1995),Adventure|Drama|IMAX
153,Batman Forever (1995),Action|Adventure|Comedy|Crime
155,Beyond Rangoon (1995),Adventure|Drama|War
158,Casper (1995),Adventure|Children
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama
170,Hackers (1995),Action|Adventure|Crime|Thriller
208,Waterworld (1995),Action|Adventure|Sci-Fi
212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
316,Stargate (1994),Action|Adventure|Sci-Fi
329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
340,"War, The (1994)",Adventure|Drama|War
362,"Jungle Book, The (1994)",Adventure|Children|Romance
364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
368,Maverick (1994),Adventure|Comedy|Western
380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
393,Street Fighter (1994),Action|Adventure|Fantasy
421,Black Beauty (1994),Adventure|Children|Drama
432,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western
434,Cliffhanger (1993),Action|Adventure|Thriller
442,Demolition Man (1993),Action|Adventure|Sci-Fi
455,Free Willy (1993),Adventure|Children|Drama
459,"Getaway, The (1994)",Action|Adventure|Crime|Drama|Romance|Thriller
464,Hard Target (1993),Action|Adventure|Crime|Thriller
480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
484,Lassie (1994),Adventure|Children
485,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy
494,Executive Decision (1996),Action|Adventure|Thriller
533,"Shadow, The (1994)",Action|Adventure|Fantasy|Mystery
546,Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi
547,Surviving the Game (1994),Action|Adventure|Thriller
552,"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance
558,"Pagemaster, The (1994)",Action|Adventure|Animation|Children|Fantasy
577,Andre (1994),Adventure|Children|Drama
588,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
590,Dances with Wolves (1990),Adventure|Drama|Western
599,"Wild Bunch, The (1969)",Adventure|Western
609,Homeward Bound II: Lost in San Francisco (1996),Adventure|Children
610,Heavy Metal (1981),Action|Adventure|Animation|Horror|Sci-Fi
631,All Dogs Go to Heaven 2 (1996),Adventure|Animation|Children|Fantasy|Musical|Romance
648,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller
653,Dragonheart (1996),Action|Adventure|Fantasy
661,James and the Giant Peach (1996),Adventure|Animation|Children|Fantasy|Musical
673,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi
674,Barbarella (1968),Adventure|Comedy|Sci-Fi
688,Operation Dumbo Drop (1995),Action|Adventure|Comedy|War
704,"Quest, The (1996)",Action|Adventure
709,Oliver & Company (1988),Adventure|Animation|Children|Comedy|Musical
711,Flipper (1996),Adventure|Children
720,Wallace & Gromit: The Best of Aardman Animation (1996),Adventure|Animation|Comedy
733,"Rock, The (1996)",Action|Adventure|Thriller
736,Twister (1996),Action|Adventure|Romance|Thriller
761,"Phantom, The (1996)",Action|Adventure
780,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller
798,Daylight (1996),Action|Adventure|Drama|Thriller
808,Alaska (1996),Adventure|Children
809,Fled (1996),Action|Adventure
828,"Adventures of Pinocchio, The (1996)",Adventure|Children
836,Chain Reaction (1996),Action|Adventure|Thriller
849,Escape from L.A. (1996),Action|Adventure|Sci-Fi|Thriller
888,Land Before Time III: The Time of the Great Giving (1995),Adventure|Animation|Children|Musical
897,For Whom the Bell Tolls (1943),Adventure|Drama|Romance|War
908,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller
919,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical
924,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi
940,"Adventures of Robin Hood, The (1938)",Action|Adventure|Romance
941,"Mark of Zorro, The (1940)",Adventure
952,Around the World in 80 Days (1956),Adventure|Comedy
969,"African Queen, The (1951)",Adventure|Comedy|Romance|War
970,Beat the Devil (1953),Adventure|Comedy|Crime|Drama|Romance
986,Fly Away Home (1996),Adventure|Children
990,Maximum Risk (1996),Action|Adventure|Thriller
1008,"Davy Crockett, King of the Wild Frontier (1955)",Adventure|Western
1009,Escape to Witch Mountain (1975),Adventure|Children|Fantasy
1015,Homeward Bound: The Incredible Journey (1993),Adventure|Children|Drama
1017,Swiss Family Robinson (1960),Adventure|Children
1019,"20,000 Leagues Under the Sea (1954)",Adventure|Drama|Sci-Fi
1027,Robin Hood: Prince of Thieves (1991),Adventure|Drama
1030,Pete's Dragon (1977),Adventure|Animation|Children|Musical
1031,Bedknobs and Broomsticks (1971),Adventure|Children|Musical
1032,Alice in Wonderland (1951),Adventure|Animation|Children|Fantasy|Musical
1049,"Ghost and the Darkness, The (1996)",Action|Adventure
1085,"Old Man and the Sea, The (1958)",Adventure|Drama
1127,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller
1129,Escape from New York (1981),Action|Adventure|Sci-Fi|Thriller
1136,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy
1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
1200,Aliens (1986),Action|Adventure|Horror|Sci-Fi
1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Action|Adventure|Western
1204,Lawrence of Arabia (1962),Adventure|Drama|War
1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
1215,Army of Darkness (1993),Action|Adventure|Comedy|Fantasy|Horror
1216,"Big Blue, The (Grand bleu, Le) (1988)",Adventure|Drama|Romance
1223,"Grand Day Out with Wallace and Gromit, A (1989)",Adventure|Animation|Children|Comedy|Sci-Fi
1250,"Bridge on the River Kwai, The (1957)",Adventure|Drama|War
1254,"Treasure of the Sierra Madre, The (1948)",Action|Adventure|Drama|Western
1259,Stand by Me (1986),Adventure|Drama
1262,"Great Escape, The (1963)",Action|Adventure|Drama|War
1270,Back to the Future (1985),Adventure|Comedy|Sci-Fi
1274,Akira (1988),Action|Adventure|Animation|Sci-Fi
1275,Highlander (1986),Action|Adventure|Fantasy
1287,Ben-Hur (1959),Action|Adventure|Drama
1291,Indiana Jones and the Last Crusade (1989),Action|Adventure
1303,"Man Who Would Be King, The (1975)",Adventure|Drama
1306,Until the End of the World (Bis ans Ende der Welt) (1991),Adventure|Drama|Sci-Fi
1356,Star Trek: First Contact (1996),Action|Adventure|Sci-Fi|Thriller
1367,101 Dalmatians (1996),Adventure|Children|Comedy
1370,Die Hard 2 (1990),Action|Adventure|Thriller
1371,Star Trek: The Motion Picture (1979),Adventure|Sci-Fi
1374,Star Trek II: The Wrath of Khan (1982),Action|Adventure|Sci-Fi|Thriller
1375,Star Trek III: The Search for Spock (1984),Action|Adventure|Sci-Fi
1376,Star Trek IV: The Voyage Home (1986),Adventure|Comedy|Sci-Fi
1405,Beavis and Butt-Head Do America (1996),Adventure|Animation|Comedy|Crime
1419,Walkabout (1971),Adventure|Drama
1429,First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo) (1996),Action|Adventure|Comedy|Thriller
1495,Turbo: A Power Rangers Movie (1997),Action|Adventure|Children
1499,Anaconda (1997),Action|Adventure|Thriller
1517,Austin Powers: International Man of Mystery (1997),Action|Adventure|Comedy
1527,"Fifth Element, The (1997)",Action|Adventure|Comedy|Sci-Fi
1544,"Lost World: Jurassic Park, The (1997)",Action|Adventure|Sci-Fi|Thriller
1551,Buddy (1997),Adventure|Children|Drama
1552,Con Air (1997),Action|Adventure|Thriller
1562,Batman & Robin (1997),Action|Adventure|Fantasy|Thriller
1566,Hercules (1997),Adventure|Animation|Children|Comedy|Musical
1582,Wild America (1997),Adventure|Children
1587,Conan the Barbarian (1982),Action|Adventure|Fantasy
1591,Spawn (1997),Action|Adventure|Sci-Fi|Thriller
1605,Excess Baggage (1997),Adventure|Romance
1606,Kull the Conqueror (1997),Action|Adventure
1610,"Hunt for Red October, The (1990)",Action|Adventure|Thriller
1615,"Edge, The (1997)",Adventure|Drama
1619,Seven Years in Tibet (1997),Adventure|Drama|War
1681,Mortal Kombat: Annihilation (1997),Action|Adventure|Fantasy
1688,Anastasia (1997),Adventure|Animation|Children|Drama|Musical
1722,Tomorrow Never Dies (1997),Action|Adventure|Thriller
1726,"Postman, The (1997)",Action|Adventure|Drama|Sci-Fi
1748,Dark City (1998),Adventure|Film-Noir|Sci-Fi|Thriller
1801,"Man in the Iron Mask, The (1998)",Action|Adventure|Drama
1806,Paulie (1998),Adventure|Children|Comedy
1826,Barney's Great Adventure (1998),Adventure|Children
1831,Lost in Space (1998),Action|Adventure|Sci-Fi
1848,"Borrowers, The (1997)",Adventure|Children|Comedy|Fantasy
1867,Tarzan and the Lost City (1998),Action|Adventure
1881,Quest for Camelot (1998),Adventure|Animation|Children|Fantasy|Musical
1884,Fear and Loathing in Las Vegas (1998),Adventure|Comedy|Drama
1887,Almost Heroes (1998),Adventure|Comedy|Western
1894,Six Days Seven Nights (1998),Adventure|Comedy|Romance
1907,Mulan (1998),Adventure|Animation|Children|Comedy|Drama|Musical|Romance
1931,Mutiny on the Bounty (1935),Adventure|Drama
1948,Tom Jones (1963),Adventure|Comedy|Romance
1967,Labyrinth (1986),Adventure|Fantasy|Musical
2005,"Goonies, The (1985)",Action|Adventure|Children|Comedy|Fantasy
2011,Back to the Future Part II (1989),Adventure|Comedy|Sci-Fi
2012,Back to the Future Part III (1990),Adventure|Comedy|Sci-Fi|Western
2013,"Poseidon Adventure, The (1972)",Action|Adventure|Drama
2019,Seven Samurai (Shichinin no samurai) (1954),Action|Adventure|Drama
2021,Dune (1984),Adventure|Sci-Fi
2033,"Black Cauldron, The (1985)",Adventure|Animation|Children|Fantasy
2037,Candleshoe (1977),Adventure|Children|Comedy
2041,Condorman (1981),Action|Adventure|Children|Comedy
2043,Darby O'Gill and the Little People (1959),Adventure|Children|Fantasy
2046,Flight of the Navigator (1986),Adventure|Children|Sci-Fi
2050,Herbie Goes Bananas (1980),Adventure|Children|Comedy
2051,Herbie Goes to Monte Carlo (1977),Adventure|Children|Comedy
2054,"Honey, I Shrunk the Kids (1989)",Adventure|Children|Comedy|Fantasy|Sci-Fi
2056,In Search of the Castaways (1962),Adventure|Children
2057,"Incredible Journey, The (1963)",Adventure|Children
2077,"Journey of Natty Gann, The (1985)",Adventure|Children
2085,101 Dalmatians (One Hundred and One Dalmatians) (1961),Adventure|Animation|Children
2088,Popeye (1980),Adventure|Comedy|Musical
2089,"Rescuers Down Under, The (1990)",Adventure|Animation|Children
2090,"Rescuers, The (1977)",Adventure|Animation|Children|Crime|Drama
2092,"Return of Jafar, The (1994)",Adventure|Animation|Children|Fantasy|Musical|Romance
2093,Return to Oz (1985),Adventure|Children|Fantasy
2094,"Rocketeer, The (1991)",Action|Adventure|Sci-Fi
2099,Song of the South (1946),Adventure|Animation|Children|Musical
2103,Tall Tale (1995),Adventure|Children|Fantasy|Western
2105,Tron (1982),Action|Adventure|Sci-Fi
2115,Indiana Jones and the Temple of Doom (1984),Action|Adventure|Fantasy
2116,"Lord of the Rings, The (1978)",Adventure|Animation|Children|Fantasy
2133,Adventures in Babysitting (1987),Adventure|Comedy
2135,Doctor Dolittle (1967),Adventure|Children|Musical
2138,Watership Down (1978),Adventure|Animation|Children|Drama|Fantasy
2139,"Secret of NIMH, The (1982)",Adventure|Animation|Children|Drama
2140,"Dark Crystal, The (1982)",Adventure|Fantasy
2141,"American Tail, An (1986)",Adventure|Animation|Children|Comedy
2142,"American Tail: Fievel Goes West, An (1991)",Adventure|Animation|Children|Musical|Western
2143,Legend (1985),Adventure|Fantasy|Romance
2147,"Clan of the Cave Bear, The (1986)",Adventure|Drama|Fantasy
2150,"Gods Must Be Crazy, The (1980)",Adventure|Comedy
2153,"Avengers, The (1998)",Action|Adventure
2161,"NeverEnding Story, The (1984)",Adventure|Children|Fantasy
2162,"NeverEnding Story II: The Next Chapter, The (1990)",Adventure|Children|Fantasy
2183,"Man Who Knew Too Much, The (1956)",Adventure|Drama|Mystery|Thriller
2193,Willow (1988),Action|Adventure|Fantasy
