movieId,title,genres
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
13,Balto (1995),Adventure|Animation|Children
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance
313,"Swan Princess, The (1994)",Animation|Children
364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
551,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical
558,"Pagemaster, The (1994)",Action|Adventure|Animation|Children|Fantasy
588,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
594,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical
595,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX
596,Pinocchio (1940),Animation|Children|Fantasy|Musical
610,Heavy Metal (1981),Action|Adventure|Animation|Horror|Sci-Fi
616,"Aristocats, The (1970)",Animation|Children
631,All Dogs Go to Heaven 2 (1996),Adventure|Animation|Children|Fantasy|Musical|Romance
661,James and the Giant Peach (1996),Adventure|Animation|Children|Fantasy|Musical
673,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi
709,Oliver & Company (1988),Adventure|Animation|Children|Comedy|Musical
720,Wallace & Gromit: The Best of Aardman Animation (1996),Adventure|Animation|Comedy
741,Ghost in the Shell (Kôkaku kidôtai) (1995),Animation|Sci-Fi
745,Wallace & Gromit: A Close Shave (1995),Animation|Children|Comedy
783,"Hunchback of Notre Dame, The (1996)",Animation|Children|Drama|Musical|Romance
888,Land Before Time III: The Time of the Great Giving (1995),Adventure|Animation|Children|Musical
1022,Cinderella (1950),Animation|Children|Fantasy|Musical|Romance
1023,Winnie the Pooh and the Blustery Day (1968),Animation|Children|Musical
1024,"Three Caballeros, The (1945)",Animation|Children|Musical
1025,"Sword in the Stone, The (1963)",Animation|Children|Fantasy|Musical
1029,Dumbo (1941),Animation|Children|Drama|Musical
1030,Pete's Dragon (1977),Adventure|Animation|Children|Musical
1032,Alice in Wonderland (1951),Adventure|Animation|Children|Fantasy|Musical
1033,"Fox and the Hound, The (1981)",Animation|Children|Drama
1064,Aladdin and the King of Thieves (1996),Animation|Children|Comedy|Fantasy|Musical|Romance
1148,Wallace & Gromit: The Wrong Trousers (1993),Animation|Children|Comedy|Crime
1151,Lesson Faust (1994),Animation|Comedy|Drama|Fantasy
1223,"Grand Day Out with Wallace and Gromit, A (1989)",Adventure|Animation|Children|Comedy|Sci-Fi
1274,Akira (1988),Action|Adventure|Animation|Sci-Fi
1282,Fantasia (1940),Animation|Children|Fantasy|Musical
1405,Beavis and Butt-Head Do America (1996),Adventure|Animation|Comedy|Crime
1489,Cats Don't Dance (1997),Animation|Children|Musical
1566,Hercules (1997),Adventure|Animation|Children|Comedy|Musical
1688,Anastasia (1997),Adventure|Animation|Children|Drama|Musical
1881,Quest for Camelot (1998),Adventure|Animation|Children|Fantasy|Musical
1907,Mulan (1998),Adventure|Animation|Children|Comedy|Drama|Musical|Romance
1920,Small Soldiers (1998),Animation|Children|Fantasy|War
2018,Bambi (1942),Animation|Children|Drama
2033,"Black Cauldron, The (1985)",Adventure|Animation|Children|Fantasy
2048,"Great Mouse Detective, The (1986)",Action|Animation|Children|Crime
2078,"Jungle Book, The (1967)",Animation|Children|Comedy|Musical
2080,Lady and the Tramp (1955),Animation|Children|Comedy|Romance
2081,"Little Mermaid, The (1989)",Animation|Children|Comedy|Musical|Romance
2085,101 Dalmatians (One Hundred and One Dalmatians) (1961),Adventure|Animation|Children
2087,Peter Pan (1953),Animation|Children|Fantasy|Musical
2089,"Rescuers Down Under, The (1990)",Adventure|Animation|Children
2090,"Rescuers, The (1977)",Adventure|Animation|Children|Crime|Drama
2092,"Return of Jafar, The (1994)",Adventure|Animation|Children|Fantasy|Musical|Romance
2096,Sleeping Beauty (1959),Animation|Children|Musical
2099,Song of the South (1946),Adventure|Animation|Children|Musical
2102,Steamboat Willie (1928),Animation|Children|Comedy|Musical
2116,"Lord of the Rings, The (1978)",Adventure|Animation|Children|Fantasy
2123,All Dogs Go to Heaven (1989),Animation|Children|Comedy|Drama|Fantasy
2137,Charlotte's Web (1973),Animation|Children
2138,Watership Down (1978),Adventure|Animation|Children|Drama|Fantasy
2139,"Secret of NIMH, The (1982)",Adventure|Animation|Children|Drama
2141,"American Tail, An (1986)",Adventure|Animation|Children|Comedy
2142,"American Tail: Fievel Goes West, An (1991)",Adventure|Animation|Children|Musical|Western
2294,Antz (1998),Adventure|Animation|Children|Comedy|Fantasy
2354,"Rugrats Movie, The (1998)",Animation|Children|Comedy
2355,"Bug's Life, A (1998)",Adventure|Animation|Children|Comedy
2394,"Prince of Egypt, The (1998)",Animation|Musical
2495,"Fantastic Planet, The (Planète sauvage, La) (1973)",Animation|Sci-Fi
2559,"King and I, The (1999)",Animation|Children
2566,Doug's 1st Movie (1999),Animation|Children
2687,Tarzan (1999),Adventure|Animation|Children|Drama
2700,"South Park: Bigger, Longer and Uncut (1999)",Animation|Comedy|Musical
2761,"Iron Giant, The (1999)",Adventure|Animation|Children|Drama|Sci-Fi
2800,Little Nemo: Adventures in Slumberland (1992),Adventure|Animation|Children|Drama|Fantasy
2810,Perfect Blue (1997),Animation|Horror|Mystery|Thriller
