movieId,title,genres
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
3,Grumpier Old Men (1995),Comedy|Romance
4,Waiting to Exhale (1995),Comedy|Drama|Romance
5,Father of the Bride Part II (1995),Comedy
7,Sabrina (1995),Comedy|Romance
11,"American President, The (1995)",Comedy|Drama|Romance
12,Dracula: Dead and Loving It (1995),Comedy|Horror
18,Four Rooms (1995),Comedy
19,Ace Ventura: When Nature Calls (1995),Comedy
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
21,Get Shorty (1995),Comedy|Crime|Thriller
38,It Takes Two (1995),Children|Comedy
39,Clueless (1995),Comedy|Romance
45,To Die For (1995),Comedy|Drama|Thriller
52,Mighty Aphrodite (1995),Comedy|Drama|Romance
54,"Big Green, The (1995)",Children|Comedy
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
64,Two if by Sea (1996),Comedy|Romance
65,Bio-Dome (1996),Comedy
68,French Twist (Gazon maudit) (1995),Comedy|Romance
69,Friday (1995),Comedy
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
72,Kicking and Screaming (1995),Comedy|Drama
75,Big Bully (1996),Comedy|Drama
82,Antonia's Line (Antonia) (1995),Comedy|Drama
87,Dunston Checks In (1996),Children|Comedy
88,Black Sheep (1996),Comedy
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance
94,Beautiful Girls (1996),Comedy|Drama|Romance
96,In the Bleak Midwinter (1995),Comedy|Drama
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
102,Mr. Wrong (1996),Comedy
104,Happy Gilmore (1996),Comedy
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
118,If Lucy Fell (1996),Comedy|Romance
119,"Steal Big, Steal Little (1995)",Comedy
122,Boomerang (1992),Comedy|Romance
125,Flirting With Disaster (1996),Comedy
129,Pie in the Sky (1996),Comedy|Romance
135,Down Periscope (1996),Comedy
141,"Birdcage, The (1996)",Comedy
144,"Brothers McMullen, The (1995)",Comedy
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
153,Batman Forever (1995),Action|Adventure|Comedy|Crime
156,Blue in the Face (1995),Comedy|Drama
157,Canadian Bacon (1995),Comedy|War
166,"Doom Generation, The (1995)",Comedy|Crime|Drama
171,Jeffrey (1995),Comedy|Drama
174,Jury Duty (1995),Comedy
176,Living in Oblivion (1995),Comedy
178,Love & Human Remains (1993),Comedy|Drama
180,Mallrats (1995),Comedy|Romance
183,Mute Witness (1994),Comedy|Horror|Thriller
186,Nine Months (1995),Comedy|Romance
187,Party Girl (1995),Comedy
189,Reckless (1995),Comedy|Fantasy
194,Smoke (1995),Comedy|Drama
195,Something to Talk About (1995),Comedy|Drama|Romance
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
205,Unstrung Heroes (1995),Comedy|Drama
212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery
216,Billy Madison (1995),Comedy
218,Boys on the Side (1995),Comedy|Drama
223,Clerks (1994),Comedy
224,Don Juan DeMarco (1995),Comedy|Drama|Romance
228,Destiny Turns on the Radio (1995),Comedy
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
234,Exit to Eden (1994),Comedy
235,Ed Wood (1994),Comedy|Drama
236,French Kiss (1995),Action|Comedy|Romance
237,Forget Paris (1995),Comedy|Romance
239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance
243,Gordy (1995),Children|Comedy|Fantasy
248,Houseguest (1994),Comedy
250,Heavyweights (Heavy Weights) (1995),Children|Comedy
252,I.Q. (1994),Comedy|Romance
255,"Jerky Boys, The (1995)",Comedy
256,Junior (1994),Comedy|Sci-Fi
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance
267,Major Payne (1995),Comedy
272,"Madness of King George, The (1994)",Comedy|Drama
274,Man of the House (1995),Comedy
275,Mixed Nuts (1994),Comedy
276,Milk Money (1994),Comedy|Romance
278,Miami Rhapsody (1995),Comedy
281,Nobody's Fool (1994),Comedy|Drama|Romance
287,Nina Takes a Lover (1994),Comedy|Romance
289,Only You (1994),Comedy|Romance
294,"Perez Family, The (1995)",Comedy|Romance
295,"Pyromaniac's Love Story, A (1995)",Comedy|Romance
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
304,Roommates (1995),Comedy|Drama
305,Ready to Wear (Pret-A-Porter) (1994),Comedy
