movieId,title,genres
6,Heat (1995),Action|Crime|Thriller
16,Casino (1995),Crime|Drama
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
21,Get Shorty (1995),Comedy|Crime|Thriller
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
23,Assassins (1995),Action|Crime|Thriller
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
36,Dead Man Walking (1995),Crime|Drama
42,Dead Presidents (1995),Action|Crime|Drama
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
97,"Hate (Haine, La) (1995)",Crime|Drama
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
111,Taxi Driver (1976),Crime|Drama|Thriller
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
149,Amateur (1994),Crime|Drama|Thriller
153,Batman Forever (1995),Action|Adventure|Comedy|Crime
159,Clockers (1995),Crime|Drama|Mystery
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
166,"Doom Generation, The (1995)",Comedy|Crime|Drama
170,Hackers (1995),Action|Adventure|Crime|Thriller
173,Judge Dredd (1995),Action|Crime|Sci-Fi
185,"Net, The (1995)",Action|Crime|Thriller
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery
247,Heavenly Creatures (1994),Crime|Drama
259,Kiss of Death (1995),Crime|Drama|Thriller
283,New Jersey Drive (1995),Crime|Drama
284,New York Cop (Nyû Yôku no koppu) (1993),Action|Crime
288,Natural Born Killers (1994),Action|Crime|Thriller
290,Once Were Warriors (1994),Crime|Drama
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
318,"Shawshank Redemption, The (1994)",Crime|Drama
330,Tales from the Hood (1995),Action|Crime|Horror
349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
353,"Crow, The (1994)",Action|Crime|Fantasy|Thriller
367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
384,Bad Company (1995),Action|Crime|Drama
390,Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drama
391,Jason's Lyric (1994),Crime|Drama
409,Above the Rim (1994),Crime|Drama
420,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller
431,Carlito's Way (1993),Crime|Drama
456,Fresh (1994),Crime|Drama|Thriller
459,"Getaway, The (1994)",Action|Adventure|Crime|Drama|Romance|Thriller
464,Hard Target (1993),Action|Adventure|Crime|Thriller
478,Jimmy Hollywood (1994),Comedy|Crime|Drama
479,Judgment Night (1993),Action|Crime|Thriller
482,Killing Zoe (1994),Crime|Drama|Thriller
493,Menace II Society (1993),Action|Crime|Drama
507,"Perfect World, A (1993)",Crime|Drama|Thriller
519,RoboCop 3 (1993),Action|Crime|Drama|Sci-Fi|Thriller
521,Romeo Is Bleeding (1993),Crime|Thriller
532,Serial Mom (1994),Comedy|Crime|Horror
544,Striking Distance (1993),Action|Crime
555,True Romance (1993),Crime|Thriller
