movieId,title,genres
77,Nico Icon (1995),Documentary
99,Heidi Fleiss: Hollywood Madam (1995),Documentary
108,Catwalk (1996),Documentary
116,Anne Frank Remembered (1995),Documentary
128,Jupiter's Wife (1994),Documentary
137,Man of the Year (1995),Documentary
162,Crumb (1994),Documentary
206,Unzipped (1995),Documentary
246,Hoop Dreams (1994),Documentary
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary
556,"War Room, The (1993)",Documentary
581,"Celluloid Closet, The (1995)",Documentary
602,"Great Day in Harlem, A (1994)",Documentary
722,"Haunted World of Edward D. Wood Jr., The (1996)",Documentary
759,Maya Lin: A Strong Clear Vision (1994),Documentary
791,"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1994)",Documentary
1050,Looking for Richard (1996),Documentary|Drama
1111,Microcosmos (Microcosmos: Le peuple de l'herbe) (1996),Documentary
1123,"Perfect Candidate, A (1996)",Documentary
1144,"Line King: The Al Hirschfeld Story, The (1996)",Documentary
1147,When We Were Kings (1996),Documentary
1189,"Thin Blue Line, The (1988)",Documentary
1191,Madonna: Truth or Dare (1991),Documentary|Musical
1192,Paris Is Burning (1990),Documentary
1289,Koyaanisqatsi (a.k.a. Koyaanisqatsi: Life Out of Balance) (1983),Documentary
1310,Hype! (1996),Documentary
1361,Paradise Lost: The Child Murders at Robin Hood Hills (1996),Documentary
1649,"Fast, Cheap & Out of Control (1997)",Documentary
1652,Year of the Horse (1997),Documentary
1797,Everest (1998),Documentary|IMAX
1827,"Big One, The (1997)",Comedy|Documentary
1856,Kurt & Courtney (1998),Documentary
2064,Roger & Me (1989),Documentary
2323,"Cruise, The (1998)",Documentary
2330,Hands on a Hard Body (1996),Comedy|Documentary
2494,"Last Days, The (1998)",Documentary
2538,Dancemaker (1998),Documentary
2659,It Came from Hollywood (1982),Comedy|Documentary
2677,Buena Vista Social Club (1999),Documentary|Musical
2693,Trekkies (1997),Documentary
2813,"Source, The (1999)",Documentary
2824,On the Ropes (1999),Documentary|Drama
2859,Stop Making Sense (1984),Documentary|Musical
2930,Return with Honor (1998),Documentary
2984,On Any Sunday (1971),Documentary
3002,My Best Fiend (Mein liebster Feind) (1999),Documentary
3007,American Movie (1999),Documentary
3077,42 Up (1998),Documentary
3142,U2: Rattle and Hum (1988),Documentary|Musical
3182,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. (1999)",Documentary
3281,"Brandon Teena Story, The (1998)",Documentary
3303,Black Tar Heroin: The Dark End of the Street (2000),Documentary
3327,Beyond the Mat (1999),Documentary
3338,For All Mankind (1989),Documentary
3539,"Filth and the Fury, The (2000)",Documentary
3609,Regret to Inform (1998),Documentary
3625,Better Living Through Circuitry (1999),Documentary
3653,"Endless Summer, The (1966)",Documentary
3677,Baraka (1992),Documentary
3679,"Decline of Western Civilization, The (1981)",Documentary|Musical
3680,"Decline of Western Civilization Part II: The Metal Years, The (1988)",Documentary
3859,"Eyes of Tammy Faye, The (2000)",Documentary
3865,"Original Kings of Comedy, The (2000)",Comedy|Documentary
3989,One Day in September (1999),Documentary
4102,Eddie Murphy Raw (1987),Comedy|Documentary
4171,Long Night's Journey Into Day (2000),Documentary
4217,4 Little Girls (1997),Documentary
4236,Keep the River on Your Right: A Modern Cannibal Tale (2000),Documentary
4237,"Gleaners & I, The (Les glaneurs et la glaneuse) (2000)",Documentary
4278,Triumph of the Will (Triumph des Willens) (1934),Documentary
4304,Startup.com (2001),Documentary
4350,Forgotten Silver (1996),Comedy|Documentary
4445,T-Rex: Back to the Cretaceous (1998),Adventure|Documentary|IMAX
4453,Michael Jordan to the Max (2000),Documentary|IMAX
4458,Africa: The Serengeti (1994),Documentary|IMAX
4459,Alaska: Spirit of the Wild (1997),Documentary|IMAX
4711,Theremin: An Electronic Odyssey (1993),Documentary
4769,Into the Arms of Strangers: Stories of the Kindertransport (2000),Documentary
4783,"Endurance: Shackleton's Legendary Antarctic Expedition, The (2000)",Documentary
4864,Titanica (1992),Documentary|IMAX
4961,Pornstar: The Legend of Ron Jeremy (2001),Documentary
5059,Little Dieter Needs to Fly (1997),Documentary
5137,Scratch (2001),Documentary
5224,Promises (2001),Documentary
5239,Rude Boy (1980),Documentary|Drama
5288,"Atomic Cafe, The (1982)",Documentary|War
5325,Dogtown and Z-Boyz (2001),Documentary
5385,"Last Waltz, The (1978)",Documentary
5483,"Kid Stays in the Picture, The (2002)",Documentary
5513,Martin Lawrence Live: Runteldat (2002),Comedy|Documentary
5619,"Trials of Henry Kissinger, The (2002)",Documentary
5643,Powaqqatsi (1988),Documentary
5669,Bowling for Columbine (2002),Documentary
5670,Comedian (2002),Comedy|Documentary
5684,Naqoyqatsi (2002),Documentary
5735,Faces of Death (1978),Documentary|Horror
5736,Faces of Death 3 (1985),Documentary|Horror
5785,Jackass: The Movie (2002),Action|Comedy|Documentary
5820,Standing in the Shadows of Motown (2002),Documentary|Musical
