movieId,title,genres
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2,Jumanji (1995),Adventure|Children|Fantasy
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
44,Mortal Kombat (1995),Action|Adventure|Fantasy
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery
189,Reckless (1995),Comedy|Fantasy
201,Three Wishes (1995),Drama|Fantasy
243,Gordy (1995),Children|Comedy|Fantasy
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance
314,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery
317,"Santa Clause, The (1994)",Comedy|Drama|Fantasy
353,"Crow, The (1994)",Action|Crime|Fantasy|Thriller
355,"Flintstones, The (1994)",Children|Comedy|Fantasy
367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
393,Street Fighter (1994),Action|Adventure|Fantasy
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy
410,Addams Family Values (1993),Children|Comedy|Fantasy
485,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy
506,Orlando (1992),Drama|Fantasy|Romance
533,"Shadow, The (1994)",Action|Adventure|Fantasy|Mystery
546,Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi
551,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical
558,"Pagemaster, The (1994)",Action|Adventure|Animation|Children|Fantasy
587,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller
594,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical
595,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX
596,Pinocchio (1940),Animation|Children|Fantasy|Musical
606,Candyman: Farewell to the Flesh (1995),Fantasy|Horror
631,All Dogs Go to Heaven 2 (1996),Adventure|Animation|Children|Fantasy|Musical|Romance
653,Dragonheart (1996),Action|Adventure|Fantasy
661,James and the Giant Peach (1996),Adventure|Animation|Children|Fantasy|Musical
673,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi
718,"Visitors, The (Visiteurs, Les) (1993)",Comedy|Fantasy|Sci-Fi
724,"Craft, The (1996)",Drama|Fantasy|Horror|Thriller
788,"Nutty Professor, The (1996)",Comedy|Fantasy|Romance|Sci-Fi
810,Kazaam (1996),Children|Comedy|Fantasy
829,Joe's Apartment (1996),Comedy|Fantasy|Musical
837,Matilda (1996),Children|Comedy|Fantasy
885,Bogus (1996),Children|Drama|Fantasy
919,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical
943,"Ghost and Mrs. Muir, The (1947)",Drama|Fantasy|Romance
953,It's a Wonderful Life (1946),Children|Drama|Fantasy|Romance
1009,Escape to Witch Mountain (1975),Adventure|Children|Fantasy
1011,Herbie Rides Again (1974),Children|Comedy|Fantasy|Romance
1022,Cinderella (1950),Animation|Children|Fantasy|Musical|Romance
1025,"Sword in the Stone, The (1963)",Animation|Children|Fantasy|Musical
1028,Mary Poppins (1964),Children|Comedy|Fantasy|Musical
1032,Alice in Wonderland (1951),Adventure|Animation|Children|Fantasy|Musical
1064,Aladdin and the King of Thieves (1996),Animation|Children|Comedy|Fantasy|Musical|Romance
1073,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical
1099,"Christmas Carol, A (1938)",Children|Drama|Fantasy
1126,Drop Dead Fred (1991),Comedy|Fantasy
1136,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy
1151,Lesson Faust (1994),Animation|Comedy|Drama|Fantasy
1176,"Double Life of Veronique, The (Double Vie de Véronique, La) (1991)",Drama|Fantasy|Romance
1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
1199,Brazil (1985),Fantasy|Sci-Fi
1211,"Wings of Desire (Himmel über Berlin, Der) (1987)",Drama|Fantasy|Romance
1215,Army of Darkness (1993),Action|Adventure|Comedy|Fantasy|Horror
1241,Dead Alive (Braindead) (1992),Comedy|Fantasy|Horror
1251,8 1/2 (8½) (1963),Drama|Fantasy
1261,Evil Dead II (Dead by Dawn) (1987),Action|Comedy|Fantasy|Horror
1265,Groundhog Day (1993),Comedy|Fantasy|Romance
1275,Highlander (1986),Action|Adventure|Fantasy
1278,Young Frankenstein (1974),Comedy|Fantasy
1282,Fantasia (1940),Animation|Children|Fantasy|Musical
1302,Field of Dreams (1989),Children|Drama|Fantasy
1339,Dracula (Bram Stoker's Dracula) (1992),Fantasy|Horror|Romance|Thriller
1345,Carrie (1976),Drama|Fantasy|Horror|Thriller
1346,Cat People (1982),Drama|Fantasy|Horror
1409,Michael (1996),Comedy|Drama|Fantasy|Romance
1458,Touch (1997),Drama|Fantasy|Romance
1464,Lost Highway (1997),Crime|Drama|Fantasy|Film-Noir|Mystery|Romance
1562,Batman & Robin (1997),Action|Adventure|Fantasy|Thriller
1583,"Simple Wish, A (1997)",Children|Fantasy
1587,Conan the Barbarian (1982),Action|Adventure|Fantasy
1654,FairyTale: A True Story (1997),Children|Drama|Fantasy
1681,Mortal Kombat: Annihilation (1997),Action|Adventure|Fantasy
1702,Flubber (1997),Children|Comedy|Fantasy
1754,Fallen (1998),Crime|Drama|Fantasy|Thriller
1835,City of Angels (1998),Drama|Fantasy|Romance
1848,"Borrowers, The (1997)",Adventure|Children|Comedy|Fantasy
1881,Quest for Camelot (1998),Adventure|Animation|Children|Fantasy|Musical
1920,Small Soldiers (1998),Animation|Children|Fantasy|War
1967,Labyrinth (1986),Adventure|Fantasy|Musical
2005,"Goonies, The (1985)",Action|Adventure|Children|Comedy|Fantasy
2014,Freaky Friday (1977),Children|Comedy|Fantasy
2015,"Absent-Minded Professor, The (1961)",Children|Comedy|Fantasy
2017,Babes in Toyland (1961),Children|Fantasy|Musical
2033,"Black Cauldron, The (1985)",Adventure|Animation|Children|Fantasy
2043,Darby O'Gill and the Little People (1959),Adventure|Children|Fantasy
2044,"Devil and Max Devlin, The (1981)",Comedy|Fantasy
2052,Hocus Pocus (1993),Children|Comedy|Fantasy|Horror
2054,"Honey, I Shrunk the Kids (1989)",Adventure|Children|Comedy|Fantasy|Sci-Fi
2065,"Purple Rose of Cairo, The (1985)",Comedy|Drama|Fantasy|Romance
2068,Fanny and Alexander (Fanny och Alexander) (1982),Drama|Fantasy|Mystery
2087,Peter Pan (1953),Animation|Children|Fantasy|Musical
2092,"Return of Jafar, The (1994)",Adventure|Animation|Children|Fantasy|Musical|Romance
2093,Return to Oz (1985),Adventure|Children|Fantasy
2097,Something Wicked This Way Comes (1983),Children|Drama|Fantasy|Mystery|Thriller
2100,Splash (1984),Comedy|Fantasy|Romance
2103,Tall Tale (1995),Adventure|Children|Fantasy|Western
2115,Indiana Jones and the Temple of Doom (1984),Action|Adventure|Fantasy
2116,"Lord of the Rings, The (1978)",Adventure|Animation|Children|Fantasy
2123,All Dogs Go to Heaven (1989),Animation|Children|Comedy|Drama|Fantasy
2124,"Addams Family, The (1991)",Children|Comedy|Fantasy
2134,Weird Science (1985),Comedy|Fantasy|Sci-Fi
2138,Watership Down (1978),Adventure|Animation|Children|Drama|Fantasy
2140,"Dark Crystal, The (1982)",Adventure|Fantasy
2143,Legend (1985),Adventure|Fantasy|Romance
2147,"Clan of the Cave Bear, The (1986)",Adventure|Drama|Fantasy
2148,House (1986),Comedy|Fantasy|Horror
2149,House II: The Second Story (1987),Comedy|Fantasy|Horror
2161,"NeverEnding Story, The (1984)",Adventure|Children|Fantasy
2162,"NeverEnding Story II: The Next Chapter, The (1990)",Adventure|Children|Fantasy
2174,Beetlejuice (1988),Comedy|Fantasy
2193,Willow (1988),Action|Adventure|Fantasy
2253,Toys (1992),Comedy|Fantasy
2263,"Seventh Sign, The (1988)",Drama|Fantasy|Thriller
2291,Edward Scissorhands (1990),Drama|Fantasy|Romance
2294,Antz (1998),Adventure|Animation|Children|Comedy|Fantasy
2297,What Dreams May Come (1998),Adventure|Drama|Fantasy|Romance
2316,Practical Magic (1998),Drama|Fantasy|Mystery|Romance
2321,Pleasantville (1998),Comedy|Drama|Fantasy
2327,Tales from the Darkside: The Movie (1990),Fantasy|Horror|Thriller
2366,King Kong (1933),Action|Adventure|Fantasy|Horror
2367,King Kong (1976),Adventure|Fantasy|Romance|Sci-Fi|Thriller
2373,Red Sonja (1985),Action|Adventure|Fantasy
2399,Santa Claus: The Movie (1985),Adventure|Children|Fantasy
2400,Prancer (1989),Children|Drama|Fantasy
2414,Young Sherlock Holmes (1985),Action|Adventure|Children|Fantasy|Mystery|Thriller
2429,Mighty Joe Young (1998),Action|Adventure|Drama|Fantasy|Thriller
2453,"Boy Who Could Fly, The (1986)",Drama|Fantasy
2617,"Mummy, The (1999)",Action|Adventure|Comedy|Fantasy|Horror|Thriller
2622,William Shakespeare's A Midsummer Night's Dream (1999),Comedy|Fantasy
2624,After Life (Wandafuru raifu) (1998),Drama|Fantasy
2654,"Wolf Man, The (1941)",Drama|Fantasy|Horror
2674,"Loss of Sexual Innocence, The (1999)",Drama|Fantasy
2717,Ghostbusters II (1989),Comedy|Fantasy|Sci-Fi
2723,Mystery Men (1999),Action|Comedy|Fantasy
2735,"Golden Child, The (1986)",Action|Adventure|Comedy|Fantasy|Mystery
2797,Big (1988),Comedy|Drama|Fantasy|Romance
2800,Little Nemo: Adventures in Slumberland (1992),Adventure|Animation|Children|Drama|Fantasy
2826,"13th Warrior, The (1999)",Action|Adventure|Fantasy
2857,Yellow Submarine (1968),Adventure|Animation|Comedy|Fantasy|Musical
2872,Excalibur (1981),Adventure|Fantasy
2876,Thumbelina (1994),Animation|Children|Fantasy
2931,Time of the Gypsies (Dom za vesanje) (1989),Comedy|Crime|Drama|Fantasy
2968,Time Bandits (1981),Adventure|Comedy|Fantasy|Sci-Fi
2971,All That Jazz (1979),Drama|Fantasy|Musical
2987,Who Framed Roger Rabbit? (1988),Adventure|Animation|Children|Comedy|Crime|Fantasy|Mystery
2997,Being John Malkovich (1999),Comedy|Drama|Fantasy
3000,Princess Mononoke (Mononoke-hime) (1997),Action|Adventure|Animation|Drama|Fantasy
3052,Dogma (1999),Adventure|Comedy|Fantasy
3054,Pokémon: The First Movie (1998),Adventure|Animation|Children|Fantasy|Sci-Fi
3081,Sleepy Hollow (1999),Fantasy|Horror|Mystery|Romance
3086,Babes in Toyland (1934),Children|Comedy|Fantasy|Musical
3087,Scrooged (1988),Comedy|Fantasy|Romance
3088,Harvey (1950),Comedy|Fantasy
3108,"Fisher King, The (1991)",Comedy|Drama|Fantasy|Romance
3113,End of Days (1999),Action|Fantasy|Horror|Mystery|Thriller
3114,Toy Story 2 (1999),Adventure|Animation|Children|Comedy|Fantasy
3153,"7th Voyage of Sinbad, The (1958)",Action|Adventure|Fantasy
3157,Stuart Little (1999),Children|Comedy|Fantasy
3258,Death Becomes Her (1992),Comedy|Fantasy
3355,"Ninth Gate, The (1999)",Fantasy|Horror|Mystery|Thriller
3358,Defending Your Life (1991),Comedy|Drama|Fantasy|Romance
3393,Date with an Angel (1987),Comedy|Fantasy|Romance
3400,We're Back! A Dinosaur's Story (1993),Adventure|Animation|Children|Fantasy
3438,Teenage Mutant Ninja Turtles (1990),Action|Children|Comedy|Fantasy|Sci-Fi
3439,Teenage Mutant Ninja Turtles II: The Secret of the Ooze (1991),Action|Children|Fantasy
3440,Teenage Mutant Ninja Turtles III (1993),Action|Adventure|Children|Comedy|Fantasy
3466,Heart and Souls (1993),Comedy|Fantasy
3479,Ladyhawke (1985),Adventure|Fantasy|Romance
3489,Hook (1991),Adventure|Comedy|Fantasy
3516,"Bell, Book and Candle (1958)",Comedy|Fantasy|Romance
3687,Light Years (Gandahar) (1988),Adventure|Animation|Fantasy|Sci-Fi
3740,Big Trouble in Little China (1986),Action|Adventure|Comedy|Fantasy
3754,"Adventures of Rocky and Bullwinkle, The (2000)",Adventure|Animation|Children|Comedy|Fantasy
3771,The Golden Voyage of Sinbad (1973),Action|Adventure|Fantasy
3784,"Kid, The (2000)",Comedy|Fantasy
3807,Sinbad and the Eye of the Tiger (1977),Adventure|Fantasy
3837,Phantasm II (1988),Action|Fantasy|Horror|Sci-Fi|Thriller
3877,Supergirl (1984),Action|Adventure|Fantasy
3889,Highlander: Endgame (Highlander IV) (2000),Action|Adventure|Fantasy
3920,"Faraway, So Close (In weiter Ferne, so nah!) (1993)",Drama|Fantasy|Mystery|Romance
3988,How the Grinch Stole Christmas (a.k.a. The Grinch) (2000),Children|Comedy|Fantasy
3997,Dungeons & Dragons (2000),Action|Adventure|Comedy|Fantasy
4016,"Emperor's New Groove, The (2000)",Adventure|Animation|Children|Comedy|Fantasy
4105,"Evil Dead, The (1981)",Fantasy|Horror|Thriller
4129,Made in Heaven (1987),Fantasy|Romance
4130,Maid to Order (1987),Comedy|Fantasy
4133,Masters of the Universe (1987),Action|Adventure|Fantasy|Sci-Fi
4153,Down to Earth (2001),Comedy|Fantasy|Romance
4157,"Price of Milk, The (2000)",Comedy|Drama|Fantasy|Romance
4158,Monkeybone (2001),Animation|Comedy|Fantasy
4240,Just Visiting (2001),Comedy|Fantasy
4275,Krull (1983),Action|Adventure|Fantasy|Sci-Fi
4282,Fellini Satyricon (1969),Drama|Fantasy
4294,"5,000 Fingers of Dr. T, The (1953)",Children|Fantasy|Musical
4306,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance
4366,Atlantis: The Lost Empire (2001),Adventure|Animation|Children|Fantasy
