movieId,title,genres
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
320,Suture (1993),Film-Noir|Thriller
347,Bitter Moon (1992),Drama|Film-Noir|Romance
913,"Maltese Falcon, The (1941)",Film-Noir|Mystery
922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama|Film-Noir|Romance
929,Foreign Correspondent (1940),Drama|Film-Noir|Mystery|Thriller
930,Notorious (1946),Film-Noir|Romance|Thriller
942,Laura (1944),Crime|Film-Noir|Mystery
999,2 Days in the Valley (1996),Crime|Film-Noir
1068,Crossfire (1947),Crime|Film-Noir
1179,"Grifters, The (1990)",Crime|Drama|Film-Noir
1212,"Third Man, The (1949)",Film-Noir|Mystery|Thriller
1245,Miller's Crossing (1990),Crime|Drama|Film-Noir|Thriller
1248,Touch of Evil (1958),Crime|Film-Noir|Thriller
1252,Chinatown (1974),Crime|Film-Noir|Mystery|Thriller
1260,M (1931),Crime|Film-Noir|Thriller
1273,Down by Law (1986),Comedy|Drama|Film-Noir
1284,"Big Sleep, The (1946)",Crime|Film-Noir|Mystery
1464,Lost Highway (1997),Crime|Drama|Fantasy|Film-Noir|Mystery|Romance
1601,Hoodlum (1997),Crime|Drama|Film-Noir
1617,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller
1748,Dark City (1998),Adventure|Film-Noir|Sci-Fi|Thriller
2008,"This World, Then the Fireworks (1997)",Crime|Drama|Film-Noir
2066,Out of the Past (1947),Film-Noir
2182,"Wrong Man, The (1956)",Drama|Film-Noir|Thriller
2186,Strangers on a Train (1951),Crime|Drama|Film-Noir|Thriller
2206,Suspicion (1941),Film-Noir|Mystery|Thriller
2511,"Long Goodbye, The (1973)",Crime|Film-Noir
2612,Mildred Pierce (1945),Drama|Film-Noir
2726,"Killing, The (1956)",Crime|Film-Noir
2727,Killer's Kiss (1955),Crime|Film-Noir
2940,Gilda (1946),Drama|Film-Noir|Mystery|Romance
3334,Key Largo (1948),Crime|Drama|Film-Noir|Thriller
3364,"Asphalt Jungle, The (1950)",Crime|Film-Noir
3435,Double Indemnity (1944),Crime|Drama|Film-Noir
3683,Blood Simple (1984),Crime|Drama|Film-Noir
3706,Angel Heart (1987),Film-Noir|Horror|Mystery|Thriller
3728,One False Move (1992),Crime|Drama|Film-Noir|Thriller
3965,"Strange Love of Martha Ivers, The (1946)",Drama|Film-Noir
3966,Detour (1945),Crime|Film-Noir
4037,House of Games (1987),Crime|Film-Noir|Mystery|Thriller
4298,Rififi (Du rififi chez les hommes) (1955),Crime|Film-Noir|Thriller
4426,Kiss Me Deadly (1955),Film-Noir
4432,Sweet Smell of Success (1957),Drama|Film-Noir
4496,D.O.A. (1988),Film-Noir|Mystery|Thriller
4848,Mulholland Drive (2001),Crime|Drama|Film-Noir|Mystery|Thriller
5434,"Sorry, Wrong Number (1948)",Drama|Film-Noir|Thriller
6064,"Harder They Fall, The (1956)",Drama|Film-Noir
6273,In a Lonely Place (1950),Drama|Film-Noir|Mystery|Romance
6515,You Only Live Once (1937),Crime|Film-Noir
6603,"Double Life, A (1947)",Crime|Drama|Film-Noir
7013,"Night of the Hunter, The (1955)",Drama|Film-Noir|Thriller
7216,High Sierra (1941),Crime|Drama|Film-Noir|Thriller
7217,Dark Passage (1947),Crime|Drama|Film-Noir|Romance|Thriller
7223,D.O.A. (1950),Drama|Film-Noir|Mystery
7335,Pickup on South Street (1953),Film-Noir
7728,"Postman Always Rings Twice, The (1946)",Crime|Drama|Film-Noir|Thriller
7772,Undercurrent (1946),Film-Noir|Thriller
7924,Stray Dog (Nora inu) (1949),Drama|Film-Noir|Thriller
7926,High and Low (Tengoku to jigoku) (1963),Crime|Drama|Film-Noir|Thriller
7943,"Killers, The (1946)",Crime|Film-Noir
8044,I Am a Fugitive from a Chain Gang (1932),Crime|Drama|Film-Noir
8236,While the City Sleeps (1956),Drama|Film-Noir
8410,Suddenly (1954),Crime|Drama|Film-Noir
8465,Johnny Eager (1942),Crime|Drama|Film-Noir|Romance
8491,White Heat (1949),Crime|Drama|Film-Noir
8600,Angels with Dirty Faces (1938),Crime|Drama|Film-Noir|Thriller
8765,This Gun for Hire (1942),Crime|Film-Noir|Thriller
25825,Fury (1936),Drama|Film-Noir
25865,"Letter, The (1940)",Drama|Film-Noir
