movieId,title,genres
12,Dracula: Dead and Loving It (1995),Comedy|Horror
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
92,Mary Reilly (1996),Drama|Horror|Thriller
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance
152,"Addiction, The (1995)",Drama|Horror
177,Lord of Illusions (1995),Horror
183,Mute Witness (1994),Comedy|Horror|Thriller
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery
196,Species (1995),Horror|Sci-Fi
220,Castle Freak (1995),Horror
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi
285,Beyond Bedlam (1993),Drama|Horror
311,Relative Fear (1994),Horror|Thriller
328,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller
330,Tales from the Hood (1995),Action|Crime|Horror
332,Village of the Damned (1995),Horror|Sci-Fi
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller
382,Wolf (1994),Drama|Horror|Romance|Thriller
407,In the Mouth of Madness (1995),Horror|Thriller
426,Body Snatchers (1993),Horror|Sci-Fi|Thriller
512,"Puppet Masters, The (1994)",Horror|Sci-Fi
532,Serial Mom (1994),Comedy|Crime|Horror
593,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
606,Candyman: Farewell to the Flesh (1995),Fantasy|Horror
610,Heavy Metal (1981),Action|Adventure|Animation|Horror|Sci-Fi
611,Hellraiser: Bloodline (1996),Action|Horror|Sci-Fi
724,"Craft, The (1996)",Drama|Fantasy|Horror|Thriller
735,Cemetery Man (Dellamorte Dellamore) (1994),Horror
742,Thinner (1996),Horror|Thriller
775,Spirits of the Dead (1968),Horror|Mystery
799,"Frighteners, The (1996)",Comedy|Horror|Thriller
841,"Eyes Without a Face (Yeux sans visage, Les) (1959)",Horror
842,Tales from the Crypt Presents: Bordello of Blood (1996),Comedy|Horror
879,"Relic, The (1997)",Horror|Thriller
891,Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) (1995),Horror|Thriller
