movieId,title,genres
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance
242,Farinelli: il castrato (1994),Drama|Musical
346,Backbeat (1993),Drama|Musical
364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
477,What's Love Got to Do with It? (1993),Drama|Musical
549,Thirty-Two Short Films About Glenn Gould (1993),Drama|Musical
551,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical
588,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
594,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical
595,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX
596,Pinocchio (1940),Animation|Children|Fantasy|Musical
631,All Dogs Go to Heaven 2 (1996),Adventure|Animation|Children|Fantasy|Musical|Romance
661,James and the Giant Peach (1996),Adventure|Animation|Children|Fantasy|Musical
709,Oliver & Company (1988),Adventure|Animation|Children|Comedy|Musical
783,"Hunchback of Notre Dame, The (1996)",Animation|Children|Drama|Musical|Romance
829,Joe's Apartment (1996),Comedy|Fantasy|Musical
869,Kansas City (1996),Crime|Drama|Musical|Thriller
888,Land Before Time III: The Time of the Great Giving (1995),Adventure|Animation|Children|Musical
899,Singin' in the Rain (1952),Comedy|Musical|Romance
900,"American in Paris, An (1951)",Musical|Romance
901,Funny Face (1957),Comedy|Musical
907,"Gay Divorcee, The (1934)",Comedy|Musical|Romance
914,My Fair Lady (1964),Comedy|Drama|Musical|Romance
918,Meet Me in St. Louis (1944),Musical
919,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical
935,"Band Wagon, The (1953)",Comedy|Musical
938,Gigi (1958),Musical
945,Top Hat (1935),Comedy|Musical|Romance
963,"Inspector General, The (1949)",Musical
1022,Cinderella (1950),Animation|Children|Fantasy|Musical|Romance
1023,Winnie the Pooh and the Blustery Day (1968),Animation|Children|Musical
1024,"Three Caballeros, The (1945)",Animation|Children|Musical
1025,"Sword in the Stone, The (1963)",Animation|Children|Fantasy|Musical
1028,Mary Poppins (1964),Children|Comedy|Fantasy|Musical
1029,Dumbo (1941),Animation|Children|Drama|Musical
1030,Pete's Dragon (1977),Adventure|Animation|Children|Musical
1031,Bedknobs and Broomsticks (1971),Adventure|Children|Musical
1032,Alice in Wonderland (1951),Adventure|Animation|Children|Fantasy|Musical
1035,"Sound of Music, The (1965)",Musical|Romance
1057,Everyone Says I Love You (1996),Comedy|Musical|Romance
1064,Aladdin and the King of Thieves (1996),Animation|Children|Comedy|Fantasy|Musical|Romance
1066,Shall We Dance (1937),Comedy|Musical|Romance
1073,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical
