movieId,title,genres
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller
113,Before and After (1996),Drama|Mystery
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
159,Clockers (1995),Crime|Drama|Mystery
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery
257,Just Cause (1995),Mystery|Thriller
314,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery
335,Underneath (1995),Mystery|Thriller
350,"Client, The (1994)",Drama|Mystery|Thriller
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller
427,Boxing Helena (1993),Drama|Mystery|Romance|Thriller
451,Flesh and Bone (1993),Drama|Mystery|Romance
492,Manhattan Murder Mystery (1993),Comedy|Mystery
513,Radioland Murders (1994),Comedy|Mystery|Romance
517,Rising Sun (1993),Action|Drama|Mystery
533,"Shadow, The (1994)",Action|Adventure|Fantasy|Mystery
548,Terminal Velocity (1994),Action|Mystery|Thriller
628,Primal Fear (1996),Crime|Drama|Mystery|Thriller
648,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller
680,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",Drama|Mystery|Romance|Sci-Fi|Thriller
695,True Crime (1996),Mystery|Thriller
714,Dead Man (1995),Drama|Mystery|Western
775,Spirits of the Dead (1968),Horror|Mystery
800,Lone Star (1996),Drama|Mystery|Western
824,Kaspar Hauser (1993),Drama|Mystery
903,Vertigo (1958),Drama|Mystery|Romance|Thriller
904,Rear Window (1954),Mystery|Thriller
908,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller
