movieId,title,genres
3,Grumpier Old Men (1995),Comedy|Romance
4,Waiting to Exhale (1995),Comedy|Drama|Romance
7,Sabrina (1995),Comedy|Romance
11,"American President, The (1995)",Comedy|Drama|Romance
15,Cutthroat Island (1995),Action|Adventure|Romance
17,Sense and Sensibility (1995),Drama|Romance
25,Leaving Las Vegas (1995),Drama|Romance
28,Persuasion (1995),Drama|Romance
39,Clueless (1995),Comedy|Romance
46,How to Make an American Quilt (1995),Drama|Romance
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
49,When Night Is Falling (1995),Drama|Romance
52,Mighty Aphrodite (1995),Comedy|Drama|Romance
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
64,Two if by Sea (1996),Comedy|Romance
68,French Twist (Gazon maudit) (1995),Comedy|Romance
74,Bed of Roses (1996),Drama|Romance
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance
85,Angels and Insects (1995),Drama|Romance
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance
94,Beautiful Girls (1996),Comedy|Drama|Romance
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
105,"Bridges of Madison County, The (1995)",Drama|Romance
118,If Lucy Fell (1996),Comedy|Romance
122,Boomerang (1992),Comedy|Romance
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
129,Pie in the Sky (1996),Comedy|Romance
140,Up Close and Personal (1996),Drama|Romance
151,Rob Roy (1995),Action|Drama|Romance|War
163,Desperado (1995),Action|Romance|Western
168,First Knight (1995),Action|Drama|Romance
179,Mad Love (1995),Drama|Romance
180,Mallrats (1995),Comedy|Romance
186,Nine Months (1995),Comedy|Romance
191,"Scarlet Letter, The (1995)",Drama|Romance
195,Something to Talk About (1995),Comedy|Drama|Romance
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance
202,Total Eclipse (1995),Drama|Romance
207,"Walk in the Clouds, A (1995)",Drama|Romance
215,Before Sunrise (1995),Drama|Romance
222,Circle of Friends (1995),Drama|Romance
224,Don Juan DeMarco (1995),Comedy|Drama|Romance
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
236,French Kiss (1995),Action|Comedy|Romance
237,Forget Paris (1995),Comedy|Romance
239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance
249,Immortal Beloved (1994),Drama|Romance
252,I.Q. (1994),Comedy|Romance
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance
266,Legends of the Fall (1994),Drama|Romance|War|Western
270,Love Affair (1994),Drama|Romance
276,Milk Money (1994),Comedy|Romance
281,Nobody's Fool (1994),Comedy|Drama|Romance
287,Nina Takes a Lover (1994),Comedy|Romance
289,Only You (1994),Comedy|Romance
294,"Perez Family, The (1995)",Comedy|Romance
295,"Pyromaniac's Love Story, A (1995)",Comedy|Romance
301,Picture Bride (Bijo photo) (1994),Drama|Romance
302,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance
339,While You Were Sleeping (1995),Comedy|Romance
347,Bitter Moon (1992),Drama|Film-Noir|Romance
351,"Corrina, Corrina (1994)",Comedy|Drama|Romance
356,Forrest Gump (1994),Comedy|Drama|Romance|War
357,Four Weddings and a Funeral (1994),Comedy|Romance
359,I Like It Like That (1994),Comedy|Drama|Romance
361,It Could Happen to You (1994),Comedy|Drama|Romance
362,"Jungle Book, The (1994)",Adventure|Children|Romance
372,Reality Bites (1994),Comedy|Drama|Romance
377,Speed (1994),Action|Romance|Thriller
378,Speechless (1994),Comedy|Romance
380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
381,When a Man Loves a Woman (1994),Drama|Romance
382,Wolf (1994),Drama|Horror|Romance|Thriller
389,"Colonel Chabert, Le (1994)",Drama|Romance|War
417,Barcelona (1994),Comedy|Romance
425,Blue Sky (1994),Drama|Romance
427,Boxing Helena (1993),Drama|Mystery|Romance|Thriller
440,Dave (1993),Comedy|Romance
444,Even Cowgirls Get the Blues (1993),Comedy|Romance
446,Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance
451,Flesh and Bone (1993),Drama|Mystery|Romance
453,For Love or Money (1993),Comedy|Romance
459,"Getaway, The (1994)",Action|Adventure|Crime|Drama|Romance|Thriller
461,Go Fish (1994),Drama|Romance
468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",Comedy|Romance
469,"House of the Spirits, The (1993)",Drama|Romance
488,M. Butterfly (1993),Drama|Romance
496,What Happened Was... (1994),Comedy|Drama|Romance|Thriller
497,Much Ado About Nothing (1993),Comedy|Romance
499,Mr. Wonderful (1993),Comedy|Romance
502,"Next Karate Kid, The (1994)",Action|Children|Romance
506,Orlando (1992),Drama|Fantasy|Romance
509,"Piano, The (1993)",Drama|Romance
513,Radioland Murders (1994),Comedy|Mystery|Romance
515,"Remains of the Day, The (1993)",Drama|Romance
534,Shadowlands (1993),Drama|Romance
539,Sleepless in Seattle (1993),Comedy|Drama|Romance
542,Son in Law (1993),Comedy|Drama|Romance
543,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller
550,Threesome (1994),Comedy|Romance
552,"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance
563,Germinal (1993),Drama|Romance
587,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller
595,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX
597,Pretty Woman (1990),Comedy|Romance
605,One Fine Day (1996),Drama|Romance
613,Jane Eyre (1996),Drama|Romance
618,Two Much (1995),Comedy|Romance
631,All Dogs Go to Heaven 2 (1996),Adventure|Animation|Children|Fantasy|Musical|Romance
638,Jack and Sarah (1995),Romance
680,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",Drama|Mystery|Romance|Sci-Fi|Thriller
691,Mrs. Winterbourne (1996),Comedy|Romance
697,Feeling Minnesota (1996),Drama|Romance
708,"Truth About Cats & Dogs, The (1996)",Comedy|Romance
