movieId,title,genres
24,Powder (1995),Drama|Sci-Fi
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
76,Screamers (1995),Action|Sci-Fi|Thriller
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
173,Judge Dredd (1995),Action|Crime|Sci-Fi
196,Species (1995),Horror|Sci-Fi
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
208,Waterworld (1995),Action|Adventure|Sci-Fi
256,Junior (1994),Comedy|Sci-Fi
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi
292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
316,Stargate (1994),Action|Adventure|Sci-Fi
327,Tank Girl (1995),Action|Comedy|Sci-Fi
329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
332,Village of the Damned (1995),Horror|Sci-Fi
338,Virtuosity (1995),Action|Sci-Fi|Thriller
379,Timecop (1994),Action|Sci-Fi|Thriller
426,Body Snatchers (1993),Horror|Sci-Fi|Thriller
435,Coneheads (1993),Comedy|Sci-Fi
442,Demolition Man (1993),Action|Adventure|Sci-Fi
480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
504,No Escape (1994),Action|Drama|Sci-Fi
512,"Puppet Masters, The (1994)",Horror|Sci-Fi
519,RoboCop 3 (1993),Action|Crime|Drama|Sci-Fi|Thriller
541,Blade Runner (1982),Action|Sci-Fi|Thriller
546,Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi
589,Terminator 2: Judgment Day (1991),Action|Sci-Fi
610,Heavy Metal (1981),Action|Adventure|Animation|Horror|Sci-Fi
611,Hellraiser: Bloodline (1996),Action|Horror|Sci-Fi
671,Mystery Science Theater 3000: The Movie (1996),Comedy|Sci-Fi
673,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi
674,Barbarella (1968),Adventure|Comedy|Sci-Fi
680,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",Drama|Mystery|Romance|Sci-Fi|Thriller
692,Solo (1996),Action|Sci-Fi|Thriller
718,"Visitors, The (Visiteurs, Les) (1993)",Comedy|Fantasy|Sci-Fi
737,Barb Wire (1996),Action|Sci-Fi
741,Ghost in the Shell (Kôkaku kidôtai) (1995),Animation|Sci-Fi
748,"Arrival, The (1996)",Action|Sci-Fi|Thriller
780,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller
788,"Nutty Professor, The (1996)",Comedy|Fantasy|Romance|Sci-Fi
849,Escape from L.A. (1996),Action|Adventure|Sci-Fi|Thriller
880,"Island of Dr. Moreau, The (1996)",Sci-Fi|Thriller
924,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi
968,Night of the Living Dead (1968),Horror|Sci-Fi|Thriller
1019,"20,000 Leagues Under the Sea (1954)",Adventure|Drama|Sci-Fi
1037,"Lawnmower Man, The (1992)",Action|Horror|Sci-Fi|Thriller
1077,Sleeper (1973),Comedy|Sci-Fi
1097,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi
1127,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller
1129,Escape from New York (1981),Action|Adventure|Sci-Fi|Thriller
1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
1199,Brazil (1985),Fantasy|Sci-Fi
1200,Aliens (1986),Action|Adventure|Horror|Sci-Fi
1206,"Clockwork Orange, A (1971)",Crime|Drama|Sci-Fi|Thriller
1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
1214,Alien (1979),Horror|Sci-Fi
1223,"Grand Day Out with Wallace and Gromit, A (1989)",Adventure|Animation|Children|Comedy|Sci-Fi
1232,Stalker (1979),Drama|Mystery|Sci-Fi
1240,"Terminator, The (1984)",Action|Sci-Fi|Thriller
1253,"Day the Earth Stood Still, The (1951)",Drama|Sci-Fi|Thriller
1255,Bad Taste (1987),Comedy|Horror|Sci-Fi
1270,Back to the Future (1985),Adventure|Comedy|Sci-Fi
1274,Akira (1988),Action|Adventure|Animation|Sci-Fi
1301,Forbidden Planet (1956),Drama|Sci-Fi
1306,Until the End of the World (Bis ans Ende der Welt) (1991),Adventure|Drama|Sci-Fi
1320,Alien³ (a.k.a. Alien 3) (1992),Action|Horror|Sci-Fi|Thriller
1334,"Blob, The (1958)",Horror|Sci-Fi
1340,"Bride of Frankenstein, The (Bride of Frankenstein) (1935)",Drama|Horror|Sci-Fi
1356,Star Trek: First Contact (1996),Action|Adventure|Sci-Fi|Thriller
1371,Star Trek: The Motion Picture (1979),Adventure|Sci-Fi
1372,Star Trek VI: The Undiscovered Country (1991),Action|Mystery|Sci-Fi
1373,Star Trek V: The Final Frontier (1989),Action|Sci-Fi
1374,Star Trek II: The Wrath of Khan (1982),Action|Adventure|Sci-Fi|Thriller
1375,Star Trek III: The Search for Spock (1984),Action|Adventure|Sci-Fi
1376,Star Trek IV: The Voyage Home (1986),Adventure|Comedy|Sci-Fi
1391,Mars Attacks! (1996),Action|Comedy|Sci-Fi
1396,Sneakers (1992),Action|Comedy|Crime|Drama|Sci-Fi
1479,"Saint, The (1997)",Action|Romance|Sci-Fi|Thriller
1527,"Fifth Element, The (1997)",Action|Adventure|Comedy|Sci-Fi
1544,"Lost World: Jurassic Park, The (1997)",Action|Adventure|Sci-Fi|Thriller
1580,Men in Black (a.k.a. MIB) (1997),Action|Comedy|Sci-Fi
1584,Contact (1997),Drama|Sci-Fi
1590,Event Horizon (1997),Horror|Sci-Fi|Thriller
1591,Spawn (1997),Action|Adventure|Sci-Fi|Thriller
1603,Mimic (1997),Horror|Sci-Fi|Thriller
1646,RocketMan (a.k.a. Rocket Man) (1997),Children|Comedy|Romance|Sci-Fi
1653,Gattaca (1997),Drama|Sci-Fi|Thriller
1676,Starship Troopers (1997),Action|Sci-Fi
1682,"Truman Show, The (1998)",Comedy|Drama|Sci-Fi
1690,Alien: Resurrection (1997),Action|Horror|Sci-Fi
1726,"Postman, The (1997)",Action|Adventure|Drama|Sci-Fi
1748,Dark City (1998),Adventure|Film-Noir|Sci-Fi|Thriller
1762,Deep Rising (1998),Action|Horror|Sci-Fi
1779,Sphere (1998),Sci-Fi|Thriller
1831,Lost in Space (1998),Action|Adventure|Sci-Fi
1862,Species II (1998),Horror|Sci-Fi
1876,Deep Impact (1998),Drama|Sci-Fi|Thriller
1882,Godzilla (1998),Action|Sci-Fi|Thriller
1909,"X-Files: Fight the Future, The (1998)",Action|Crime|Mystery|Sci-Fi|Thriller
1917,Armageddon (1998),Action|Romance|Sci-Fi|Thriller
1921,Pi (1998),Drama|Sci-Fi|Thriller
1924,Plan 9 from Outer Space (1959),Horror|Sci-Fi
1965,Repo Man (1984),Comedy|Sci-Fi
2009,Soylent Green (1973),Drama|Mystery|Sci-Fi|Thriller
2010,Metropolis (1927),Drama|Sci-Fi
2011,Back to the Future Part II (1989),Adventure|Comedy|Sci-Fi
2012,Back to the Future Part III (1990),Adventure|Comedy|Sci-Fi|Western
2021,Dune (1984),Adventure|Sci-Fi
2034,"Black Hole, The (1979)",Children|Sci-Fi
2038,"Cat from Outer Space, The (1978)",Children|Comedy|Sci-Fi
2046,Flight of the Navigator (1986),Adventure|Children|Sci-Fi
2053,"Honey, I Blew Up the Kid (1992)",Children|Comedy|Sci-Fi
2054,"Honey, I Shrunk the Kids (1989)",Adventure|Children|Comedy|Fantasy|Sci-Fi
2091,Return from Witch Mountain (1978),Children|Sci-Fi
2094,"Rocketeer, The (1991)",Action|Adventure|Sci-Fi
2105,Tron (1982),Action|Adventure|Sci-Fi
2117,1984 (Nineteen Eighty-Four) (1984),Drama|Sci-Fi
2134,Weird Science (1985),Comedy|Fantasy|Sci-Fi
2136,"Nutty Professor, The (1963)",Comedy|Sci-Fi
2232,Cube (1997),Horror|Mystery|Sci-Fi|Thriller
2256,Parasite (1982),Horror|Sci-Fi
2275,Six-String Samurai (1998),Action|Adventure|Sci-Fi
2287,Them! (1954),Horror|Sci-Fi|Thriller
2288,"Thing, The (1982)",Action|Horror|Sci-Fi|Thriller
2311,2010: The Year We Make Contact (1984),Sci-Fi
2322,Soldier (1998),Action|Sci-Fi|War
2346,"Stepford Wives, The (1975)",Mystery|Sci-Fi|Thriller
2363,Godzilla (Gojira) (1954),Drama|Horror|Sci-Fi
2364,"Godzilla 1985: The Legend Is Reborn (Gojira) (Godzilla) (Return of Godzilla, The) (1984)",Action|Horror|Sci-Fi|Thriller
