movieId,title,genres
6,Heat (1995),Action|Crime|Thriller
10,GoldenEye (1995),Action|Adventure|Thriller
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
21,Get Shorty (1995),Comedy|Crime|Thriller
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
23,Assassins (1995),Action|Crime|Thriller
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
45,To Die For (1995),Comedy|Drama|Thriller
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
61,Eye for an Eye (1996),Drama|Thriller
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
76,Screamers (1995),Action|Sci-Fi|Thriller
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller
79,"Juror, The (1996)",Drama|Thriller
89,Nick of Time (1995),Action|Thriller
92,Mary Reilly (1996),Drama|Horror|Thriller
95,Broken Arrow (1996),Action|Adventure|Thriller
100,City Hall (1996),Drama|Thriller
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller
111,Taxi Driver (1976),Crime|Drama|Thriller
132,Jade (1995),Thriller
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
149,Amateur (1994),Crime|Drama|Thriller
161,Crimson Tide (1995),Drama|Thriller|War
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
170,Hackers (1995),Action|Adventure|Crime|Thriller
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
183,Mute Witness (1994),Comedy|Horror|Thriller
185,"Net, The (1995)",Action|Crime|Thriller
190,Safe (1995),Thriller
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
217,"Babysitter, The (1995)",Drama|Thriller
225,Disclosure (1994),Drama|Thriller
227,Drop Zone (1994),Action|Thriller
229,Death and the Maiden (1994),Drama|Thriller
230,Dolores Claiborne (1995),Drama|Thriller
240,Hideaway (1995),Thriller
257,Just Cause (1995),Mystery|Thriller
259,Kiss of Death (1995),Crime|Drama|Thriller
280,Murder in the First (1995),Drama|Thriller
288,Natural Born Killers (1994),Action|Crime|Thriller
291,Poison Ivy II (1996),Drama|Thriller
292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
303,"Quick and the Dead, The (1995)",Action|Thriller|Western
311,Relative Fear (1994),Horror|Thriller
315,"Specialist, The (1994)",Action|Drama|Thriller
319,Shallow Grave (1994),Comedy|Drama|Thriller
320,Suture (1993),Film-Noir|Thriller
328,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller
335,Underneath (1995),Mystery|Thriller
338,Virtuosity (1995),Action|Sci-Fi|Thriller
349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
350,"Client, The (1994)",Drama|Mystery|Thriller
353,"Crow, The (1994)",Action|Crime|Fantasy|Thriller
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller
373,Red Rock West (1992),Thriller
376,"River Wild, The (1994)",Action|Thriller
377,Speed (1994),Action|Romance|Thriller
379,Timecop (1994),Action|Sci-Fi|Thriller
380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
382,Wolf (1994),Drama|Horror|Romance|Thriller
407,In the Mouth of Madness (1995),Horror|Thriller
415,Another Stakeout (1993),Comedy|Thriller
420,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller
422,Blink (1994),Thriller
423,Blown Away (1994),Action|Thriller
426,Body Snatchers (1993),Horror|Sci-Fi|Thriller
427,Boxing Helena (1993),Drama|Mystery|Romance|Thriller
434,Cliffhanger (1993),Action|Adventure|Thriller
436,Color of Night (1994),Drama|Thriller
454,"Firm, The (1993)",Drama|Thriller
456,Fresh (1994),Crime|Drama|Thriller
457,"Fugitive, The (1993)",Thriller
459,"Getaway, The (1994)",Action|Adventure|Crime|Drama|Romance|Thriller
464,Hard Target (1993),Action|Adventure|Crime|Thriller
474,In the Line of Fire (1993),Action|Thriller
479,Judgment Night (1993),Action|Crime|Thriller
480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
481,Kalifornia (1993),Drama|Thriller
482,Killing Zoe (1994),Crime|Drama|Thriller
490,Malice (1993),Thriller
494,Executive Decision (1996),Action|Adventure|Thriller
496,What Happened Was... (1994),Comedy|Drama|Romance|Thriller
507,"Perfect World, A (1993)",Crime|Drama|Thriller
519,RoboCop 3 (1993),Action|Crime|Drama|Sci-Fi|Thriller
521,Romeo Is Bleeding (1993),Crime|Thriller
540,Sliver (1993),Thriller
541,Blade Runner (1982),Action|Sci-Fi|Thriller
543,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller
547,Surviving the Game (1994),Action|Adventure|Thriller
548,Terminal Velocity (1994),Action|Mystery|Thriller
555,True Romance (1993),Crime|Thriller
579,"Escort, The (Scorta, La) (1993)",Crime|Thriller
587,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller
592,Batman (1989),Action|Crime|Thriller
593,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
608,Fargo (1996),Comedy|Crime|Drama|Thriller
627,"Last Supper, The (1995)",Drama|Thriller
628,Primal Fear (1996),Crime|Drama|Mystery|Thriller
640,Diabolique (1996),Drama|Thriller
648,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller
662,Fear (1996),Thriller
678,Some Folks Call It a Sling Blade (1993),Drama|Thriller
680,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",Drama|Mystery|Romance|Sci-Fi|Thriller
692,Solo (1996),Action|Sci-Fi|Thriller
695,True Crime (1996),Mystery|Thriller
707,Mulholland Falls (1996),Crime|Drama|Thriller
724,"Craft, The (1996)",Drama|Fantasy|Horror|Thriller
731,Heaven's Prisoners (1996),Crime|Thriller
733,"Rock, The (1996)",Action|Adventure|Thriller
736,Twister (1996),Action|Adventure|Romance|Thriller
742,Thinner (1996),Horror|Thriller
748,"Arrival, The (1996)",Action|Sci-Fi|Thriller
780,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller
782,"Fan, The (1996)",Drama|Thriller
784,"Cable Guy, The (1996)",Comedy|Thriller
786,Eraser (1996),Action|Drama|Thriller
798,Daylight (1996),Action|Adventure|Drama|Thriller
799,"Frighteners, The (1996)",Comedy|Horror|Thriller
805,"Time to Kill, A (1996)",Drama|Thriller
832,Ransom (1996),Crime|Thriller
836,Chain Reaction (1996),Action|Adventure|Thriller
839,"Crow: City of Angels, The (1996)",Action|Thriller
849,Escape from L.A. (1996),Action|Adventure|Sci-Fi|Thriller
861,Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992),Action|Comedy|Crime|Thriller
866,Bound (1996),Crime|Drama|Romance|Thriller
869,Kansas City (1996),Crime|Drama|Musical|Thriller
876,Supercop 2 (Project S) (Chao ji ji hua) (1993),Action|Comedy|Crime|Thriller
879,"Relic, The (1997)",Horror|Thriller
880,"Island of Dr. Moreau, The (1996)",Sci-Fi|Thriller
882,"Trigger Effect, The (1996)",Drama|Thriller
891,Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) (1995),Horror|Thriller
903,Vertigo (1958),Drama|Mystery|Romance|Thriller
904,Rear Window (1954),Mystery|Thriller
906,Gaslight (1944),Drama|Thriller
908,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller
911,Charade (1963),Comedy|Crime|Mystery|Romance|Thriller
928,Rebecca (1940),Drama|Mystery|Romance|Thriller
929,Foreign Correspondent (1940),Drama|Film-Noir|Mystery|Thriller
930,Notorious (1946),Film-Noir|Romance|Thriller
931,Spellbound (1945),Mystery|Romance|Thriller
933,To Catch a Thief (1955),Crime|Mystery|Romance|Thriller
965,"39 Steps, The (1935)",Drama|Mystery|Thriller
968,Night of the Living Dead (1968),Horror|Sci-Fi|Thriller
990,Maximum Risk (1996),Action|Adventure|Thriller
996,Last Man Standing (1996),Action|Crime|Drama|Thriller
1003,Extreme Measures (1996),Drama|Thriller
1004,"Glimmer Man, The (1996)",Action|Thriller
1034,Freeway (1996),Comedy|Crime|Drama|Thriller
1036,Die Hard (1988),Action|Crime|Thriller
1037,"Lawnmower Man, The (1992)",Action|Horror|Sci-Fi|Thriller
1047,"Long Kiss Goodnight, The (1996)",Action|Drama|Thriller
1055,Shadow Conspiracy (1997),Thriller
1061,Sleepers (1996),Thriller
1076,"Innocents, The (1961)",Drama|Horror|Thriller
1086,Dial M for Murder (1954),Crime|Mystery|Thriller
1089,Reservoir Dogs (1992),Crime|Mystery|Thriller
1092,Basic Instinct (1992),Crime|Mystery|Thriller
1094,"Crying Game, The (1992)",Drama|Romance|Thriller
1127,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller
1129,Escape from New York (1981),Action|Adventure|Sci-Fi|Thriller
1206,"Clockwork Orange, A (1971)",Crime|Drama|Sci-Fi|Thriller
1212,"Third Man, The (1949)",Film-Noir|Mystery|Thriller
1218,"Killer, The (Die xue shuang xiong) (1989)",Action|Crime|Drama|Thriller
1240,"Terminator, The (1984)",Action|Sci-Fi|Thriller
1245,Miller's Crossing (1990),Crime|Drama|Film-Noir|Thriller
1248,Touch of Evil (1958),Crime|Film-Noir|Thriller
1249,"Femme Nikita, La (Nikita) (1990)",Action|Crime|Romance|Thriller
1252,Chinatown (1974),Crime|Film-Noir|Mystery|Thriller
1253,"Day the Earth Stood Still, The (1951)",Drama|Sci-Fi|Thriller
1260,M (1931),Crime|Film-Noir|Thriller
1264,Diva (1981),Action|Drama|Mystery|Romance|Thriller
1267,"Manchurian Candidate, The (1962)",Crime|Thriller|War
1269,Arsenic and Old Lace (1944),Comedy|Mystery|Thriller
1320,Alien³ (a.k.a. Alien 3) (1992),Action|Horror|Sci-Fi|Thriller
1321,"American Werewolf in London, An (1981)",Comedy|Horror|Thriller
1327,"Amityville Horror, The (1979)",Drama|Horror|Mystery|Thriller
1332,"Believers, The (1987)",Horror|Thriller
1333,"Birds, The (1963)",Horror|Thriller
1336,Body Parts (1991),Horror|Thriller
1337,"Body Snatcher, The (1945)",Drama|Horror|Thriller
1339,Dracula (Bram Stoker's Dracula) (1992),Fantasy|Horror|Romance|Thriller
1342,Candyman (1992),Horror|Thriller
1343,Cape Fear (1991),Thriller
1344,Cape Fear (1962),Crime|Drama|Thriller
1345,Carrie (1976),Drama|Fantasy|Horror|Thriller
1347,"Nightmare on Elm Street, A (1984)",Horror|Thriller
