movieId,title,genres
41,Richard III (1995),Drama|War
73,"Misérables, Les (1995)",Drama|War
110,Braveheart (1995),Action|Drama|War
151,Rob Roy (1995),Action|Drama|Romance|War
155,Beyond Rangoon (1995),Adventure|Drama|War
157,Canadian Bacon (1995),Comedy|War
161,Crimson Tide (1995),Drama|Thriller|War
214,Before the Rain (Pred dozhdot) (1994),Drama|War
266,Legends of the Fall (1994),Drama|Romance|War|Western
336,"Walking Dead, The (1995)",Drama|War
340,"War, The (1994)",Adventure|Drama|War
356,Forrest Gump (1994),Comedy|Drama|Romance|War
389,"Colonel Chabert, Le (1994)",Drama|Romance|War
466,Hot Shots! Part Deux (1993),Action|Comedy|War
473,In the Army Now (1994),Comedy|War
527,Schindler's List (1993),Drama|War
632,Land and Freedom (Tierra y libertad) (1995),Drama|War
647,Courage Under Fire (1996),Action|Crime|Drama|War
665,Underground (1995),Comedy|Drama|War
688,Operation Dumbo Drop (1995),Action|Adventure|Comedy|War
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
760,Stalingrad (1993),Drama|War
897,For Whom the Bell Tolls (1943),Adventure|Drama|Romance|War
920,Gone with the Wind (1939),Drama|Romance|War
946,To Be or Not to Be (1942),Comedy|Drama|War
969,"African Queen, The (1951)",Adventure|Comedy|Romance|War
976,"Farewell to Arms, A (1932)",Romance|War
979,Nothing Personal (1995),Drama|War
1078,Bananas (1971),Comedy|War
1090,Platoon (1986),Drama|War
1161,"Tin Drum, The (Blechtrommel, Die) (1979)",Drama|War
1178,Paths of Glory (1957),Drama|War
1183,"English Patient, The (1996)",Drama|Romance|War
1204,Lawrence of Arabia (1962),Adventure|Drama|War
1208,Apocalypse Now (1979),Action|Drama|War
1217,Ran (1985),Drama|War
1222,Full Metal Jacket (1987),Drama|War
1224,Henry V (1989),Action|Drama|Romance|War
1233,"Boot, Das (Boat, The) (1981)",Action|Drama|War
1242,Glory (1989),Drama|War
1250,"Bridge on the River Kwai, The (1957)",Adventure|Drama|War
1256,Duck Soup (1933),Comedy|Musical|War
1262,"Great Escape, The (1963)",Action|Adventure|Drama|War
1263,"Deer Hunter, The (1978)",Drama|War
1267,"Manchurian Candidate, The (1962)",Crime|Thriller|War
1272,Patton (1970),Drama|War
1281,"Great Dictator, The (1940)",Comedy|Drama|War
1299,"Killing Fields, The (1984)",Drama|War
1398,In Love and War (1996),Romance|War
1408,"Last of the Mohicans, The (1992)",Action|Romance|War|Western
1445,McHale's Navy (1997),Comedy|War
1507,Paradise Road (1997),Drama|War
1616,"Peacemaker, The (1997)",Action|Thriller|War
1619,Seven Years in Tibet (1997),Adventure|Drama|War
1663,Stripes (1981),Comedy|War
1670,Welcome to Sarajevo (1997),Drama|War
1696,Bent (1997),Drama|War
1873,"Misérables, Les (1998)",Crime|Drama|Romance|War
1920,Small Soldiers (1998),Animation|Children|Fantasy|War
1927,All Quiet on the Western Front (1930),Action|Drama|War
1936,Mrs. Miniver (1942),Drama|War
